consensus.cluster	chr	start	end	strand	tpm
89	chr2L	1077913	1078002	+	4427
90	chr2L	1080902	1080999	+	1666
91	chr2L	1092985	1093033	+	149
92	chr2L	1108622	1108684	+	418
93	chr2L	1129284	1129376	+	3395
94	chr2L	1147811	1147854	+	998
95	chr2L	1150728	1150851	+	6549
96	chr2L	1151562	1151568	+	210
97	chr2L	1158651	1158734	+	1625
98	chr2L	1164430	1164486	+	1303
99	chr2L	1166479	1166571	+	4976
100	chr2L	1170187	1170232	+	813
101	chr2L	1173011	1173070	+	2119
102	chr2L	1177650	1177776	+	3408
103	chr2L	1184065	1184129	+	1029
104	chr2L	1185894	1185922	+	646
105	chr2L	1186255	1186257	+	564
106	chr2L	1256402	1256407	+	94
107	chr2L	1334110	1334226	+	7698
108	chr2L	1344398	1344556	+	27140
109	chr2L	1367991	1368358	+	11822
110	chr2L	1442610	1442627	+	105
111	chr2L	1442720	1442753	+	913
112	chr2L	1523617	1523618	+	135
113	chr2L	1537230	1537272	+	96
114	chr2L	1555129	1555131	+	528
115	chr2L	1611377	1611454	+	922
116	chr2L	1651258	1651264	+	6050
117	chr2L	1687460	1687550	+	1607
118	chr2L	1690022	1690168	+	3060
119	chr2L	1704884	1704978	+	3732
120	chr2L	1710436	1710523	+	9959
121	chr2L	1728733	1728849	+	3731
122	chr2L	1729873	1729942	+	2021
123	chr2L	1732554	1732555	+	192
124	chr2L	1737461	1737471	+	12091
125	chr2L	1752289	1752381	+	2360
126	chr2L	1755425	1755458	+	306
127	chr2L	1869786	1869883	+	6459
128	chr2L	1872628	1872699	+	181
129	chr2L	1884570	1884685	+	6932
130	chr2L	1911742	1911744	+	652
131	chr2L	1973903	1973925	+	107
132	chr2L	1974095	1974175	+	2919
133	chr2L	1981187	1981373	+	5782
134	chr2L	1982180	1982336	+	5355
135	chr2L	1988250	1988414	+	40715
136	chr2L	1988471	1988501	+	315
137	chr2L	1999979	2000036	+	462
138	chr2L	2009827	2009857	+	189
139	chr2L	2023980	2024012	+	225
140	chr2L	2029516	2029524	+	731
141	chr2L	2037685	2037798	+	6096
142	chr2L	2045487	2045572	+	3341
143	chr2L	2079930	2080032	+	7713
144	chr2L	2083310	2083366	+	628
145	chr2L	2130816	2130920	+	16358
146	chr2L	2147315	2147393	+	1054
147	chr2L	2147513	2147620	+	3109
148	chr2L	2151742	2151945	+	5741
149	chr2L	2155403	2155489	+	1024
150	chr2L	2214239	2214318	+	1346
151	chr2L	2217140	2217354	+	1115
152	chr2L	2220718	2220828	+	1654
153	chr2L	2221903	2221933	+	226
154	chr2L	2222089	2222195	+	565
155	chr2L	2222633	2222684	+	1446
156	chr2L	2223179	2223180	+	106
157	chr2L	2226361	2226391	+	925
158	chr2L	2226479	2226621	+	6693
159	chr2L	2228890	2228939	+	117
160	chr2L	2229095	2229148	+	522
161	chr2L	2230659	2230703	+	98
162	chr2L	2236161	2236260	+	465
163	chr2L	2245215	2245378	+	9012
164	chr2L	2263438	2263542	+	5973
165	chr2L	2300063	2300173	+	21808
166	chr2L	2307938	2307945	+	1042
167	chr2L	2365317	2365419	+	4992
168	chr2L	2374689	2374718	+	175
169	chr2L	2375880	2375927	+	710
170	chr2L	2376119	2376176	+	892
171	chr2L	2381079	2381187	+	688
172	chr2L	2420790	2420838	+	227
173	chr2L	2451229	2451245	+	1241
174	chr2L	2492858	2492966	+	6176
175	chr2L	2577679	2577703	+	304
176	chr2L	2580261	2580354	+	10882
177	chr2L	2591853	2592021	+	2540
178	chr2L	2592116	2592128	+	263
179	chr2L	2610037	2610187	+	5911
180	chr2L	2611056	2611058	+	179
181	chr2L	2646015	2646039	+	210
182	chr2L	2647848	2647951	+	5654
183	chr2L	2653055	2653213	+	13256
184	chr2L	2655331	2655441	+	9091
185	chr2L	2665021	2665106	+	1697
186	chr2L	2725679	2725680	+	196
187	chr2L	2730102	2730130	+	2496
188	chr2L	2735811	2735814	+	1096
189	chr2L	2740036	2740075	+	1765
190	chr2L	2740983	2741006	+	555
191	chr2L	2745100	2745147	+	993
192	chr2L	2752800	2752808	+	16303
193	chr2L	2753233	2753241	+	8886
194	chr2L	2756098	2756150	+	476
195	chr2L	2756267	2756291	+	511
196	chr2L	2759924	2759993	+	536
197	chr2L	2766193	2766329	+	3891
198	chr2L	2766373	2766401	+	137
199	chr2L	2767881	2768005	+	5697
200	chr2L	2770061	2770281	+	74038
201	chr2L	2797849	2797865	+	671
202	chr2L	2808296	2808300	+	301
203	chr2L	2812421	2812491	+	5459
204	chr2L	2856045	2856182	+	84135
205	chr2L	2857156	2857194	+	1903
206	chr2L	2862538	2862539	+	198
207	chr2L	2866841	2866848	+	137
208	chr2L	2869600	2869652	+	10977
209	chr2L	2874866	2875025	+	1382
210	chr2L	2878331	2878523	+	6001
211	chr2L	2879095	2879192	+	1529
212	chr2L	2885896	2885979	+	4040
213	chr2L	2888247	2888253	+	589
214	chr2L	2946366	2946549	+	1491
215	chr2L	2948945	2949049	+	2969
216	chr2L	2954725	2954861	+	6433
217	chr2L	2959145	2959147	+	838
218	chr2L	2972871	2972909	+	1749
219	chr2L	2977058	2977183	+	3341
220	chr2L	2987977	2988200	+	7626
221	chr2L	2992831	2993037	+	8708
222	chr2L	2999279	2999290	+	1401
223	chr2L	3013602	3013637	+	376
224	chr2L	3023221	3023285	+	2361
225	chr2L	3029256	3029269	+	909
226	chr2L	3029735	3029756	+	550
227	chr2L	3030498	3030562	+	1393
228	chr2L	3037423	3037556	+	2548
229	chr2L	3040105	3040135	+	414
230	chr2L	3042845	3043047	+	33597
231	chr2L	3043949	3043950	+	214
232	chr2L	3056595	3056603	+	13291
233	chr2L	3109651	3109681	+	368
234	chr2L	3111965	3112008	+	216
235	chr2L	3115648	3115670	+	129
236	chr2L	3128623	3128740	+	4530
237	chr2L	3159938	3160034	+	1971
238	chr2L	3163602	3163744	+	13923
239	chr2L	3268285	3268313	+	93
240	chr2L	3269713	3269830	+	4932
241	chr2L	3321393	3321442	+	229
242	chr2L	3324219	3324299	+	28262
243	chr2L	3357608	3357776	+	8429
244	chr2L	3376974	3377069	+	5080
245	chr2L	3397973	3398109	+	6068
246	chr2L	3410523	3410639	+	24732
247	chr2L	3413772	3413788	+	221
248	chr2L	3416644	3416749	+	2479
249	chr2L	3449678	3449791	+	7455
250	chr2L	3452451	3452540	+	2276
251	chr2L	3452580	3452584	+	229
252	chr2L	3453280	3453353	+	563
253	chr2L	3457305	3457420	+	956
254	chr2L	3466078	3466350	+	17528
255	chr2L	3470106	3470197	+	2525
256	chr2L	3478430	3478438	+	22009
257	chr2L	3478711	3478733	+	131
258	chr2L	3495328	3495409	+	1357
259	chr2L	3495505	3495506	+	260
260	chr2L	3514842	3514909	+	1995
261	chr2L	3520183	3520325	+	2101
262	chr2L	3523085	3523121	+	133
263	chr2L	3525131	3525151	+	3789
264	chr2L	3537775	3537805	+	340
265	chr2L	3561991	3562044	+	292
266	chr2L	3575098	3575144	+	237
267	chr2L	3576221	3576273	+	605
268	chr2L	3619262	3619267	+	280
269	chr2L	3700207	3700208	+	155
270	chr2L	3701831	3701834	+	93
271	chr2L	3703644	3703645	+	141
272	chr2L	3713297	3713406	+	3015
273	chr2L	3718186	3718187	+	517
274	chr2L	3726439	3726476	+	192
275	chr2L	3771705	3771708	+	1038
276	chr2L	3784917	3784989	+	2856
277	chr2L	3785690	3785792	+	2759
278	chr2L	3787168	3787180	+	1593
279	chr2L	3803406	3803529	+	475
280	chr2L	3805683	3805684	+	145
281	chr2L	3815273	3815404	+	631
282	chr2L	3862655	3862828	+	7108
283	chr2L	3867703	3867749	+	1102
284	chr2L	3870039	3870130	+	6202
285	chr2L	3872524	3872550	+	241
286	chr2L	4001069	4001109	+	241
287	chr2L	4004056	4004070	+	208
288	chr2L	4004927	4004987	+	7712
289	chr2L	4006034	4006054	+	1313
290	chr2L	4008664	4008669	+	213
291	chr2L	4031378	4031396	+	4328
292	chr2L	4097228	4097277	+	1755
293	chr2L	4121702	4121704	+	197
294	chr2L	4149228	4149348	+	36230
295	chr2L	4149467	4149507	+	147
296	chr2L	4149598	4149626	+	410
297	chr2L	4188103	4188120	+	325
298	chr2L	4227659	4227772	+	187860
299	chr2L	4227853	4227884	+	125
300	chr2L	4228051	4228251	+	5689
301	chr2L	4257519	4257647	+	17366
302	chr2L	4283150	4283151	+	140
303	chr2L	4324509	4324559	+	1661
304	chr2L	4333902	4333927	+	4670
305	chr2L	4352929	4353018	+	5705
306	chr2L	4388312	4388337	+	4457
307	chr2L	4388476	4388510	+	1407
308	chr2L	4388575	4388580	+	284
309	chr2L	4394142	4394262	+	2918
310	chr2L	4403204	4403317	+	14807
311	chr2L	4425663	4425684	+	232
312	chr2L	4433829	4433898	+	1670
313	chr2L	4434367	4434491	+	8977
314	chr2L	4442319	4442476	+	6387
315	chr2L	4444709	4444802	+	4276
316	chr2L	4454575	4454858	+	9727
317	chr2L	4459725	4459806	+	1575
318	chr2L	4459870	4459956	+	1039
319	chr2L	4463566	4463769	+	1862
320	chr2L	4465176	4465184	+	230
321	chr2L	4619636	4619674	+	232
322	chr2L	4641273	4641278	+	155
323	chr2L	4682696	4682882	+	8519
324	chr2L	4762832	4762921	+	29045
325	chr2L	4762999	4763068	+	286
326	chr2L	4763135	4763158	+	142
327	chr2L	4794564	4794653	+	163
328	chr2L	4813010	4813014	+	272
329	chr2L	4821775	4821776	+	129
330	chr2L	4838291	4838367	+	1541
331	chr2L	4838429	4838433	+	195
332	chr2L	4838988	4838989	+	182
333	chr2L	4847729	4847845	+	4578
334	chr2L	4850639	4850691	+	1074
335	chr2L	4883299	4883381	+	3698
336	chr2L	4889910	4890033	+	1433
337	chr2L	4892110	4892122	+	1739
338	chr2L	4945561	4945626	+	1475
339	chr2L	4945724	4945728	+	306
340	chr2L	4955493	4955568	+	603
341	chr2L	4958357	4958445	+	1316
342	chr2L	4965373	4965388	+	137
343	chr2L	4965644	4965800	+	11583
344	chr2L	4968978	4969066	+	5530
345	chr2L	4969174	4969283	+	1516
346	chr2L	4971601	4971774	+	12226
347	chr2L	4973895	4974093	+	7779
348	chr2L	4977252	4977377	+	3230
349	chr2L	4977473	4977474	+	124
350	chr2L	4977543	4977572	+	164
351	chr2L	4981612	4981633	+	2593
352	chr2L	4981673	4981693	+	167
353	chr2L	5010890	5010957	+	426
354	chr2L	5011054	5011189	+	12921
355	chr2L	5011493	5011517	+	215
356	chr2L	5022632	5022672	+	395
357	chr2L	5029611	5029698	+	5477
358	chr2L	5030728	5030775	+	198
359	chr2L	5031318	5031446	+	483
360	chr2L	5039039	5039110	+	2568
361	chr2L	5043241	5043374	+	7421
362	chr2L	5044435	5044468	+	4864
363	chr2L	5045296	5045409	+	14406
364	chr2L	5046486	5046602	+	1669
365	chr2L	5052817	5052944	+	2281
366	chr2L	5055088	5055299	+	31227
367	chr2L	5060816	5060817	+	118
368	chr2L	5065966	5066060	+	1887
369	chr2L	5070956	5071103	+	221368
370	chr2L	5071226	5071290	+	937
371	chr2L	5093837	5093872	+	95
372	chr2L	5093975	5094061	+	903
373	chr2L	5096184	5096261	+	1055
374	chr2L	5096400	5096462	+	1294
375	chr2L	5100854	5100855	+	377
376	chr2L	5108535	5108539	+	2010
377	chr2L	5146351	5146358	+	598
378	chr2L	5146767	5146842	+	4466
379	chr2L	5151725	5151727	+	1102
380	chr2L	5187962	5188063	+	778
381	chr2L	5218254	5218260	+	2696
382	chr2L	5242688	5242786	+	3202
383	chr2L	5242849	5242890	+	307
384	chr2L	5242973	5243015	+	184
385	chr2L	5243363	5243436	+	570
386	chr2L	5263977	5263985	+	3178
387	chr2L	5279019	5279125	+	2785
388	chr2L	5305702	5305712	+	3092
389	chr2L	5305872	5305875	+	584
390	chr2L	5327207	5327313	+	94979
391	chr2L	5327402	5327516	+	1077
392	chr2L	5329855	5329862	+	2812
393	chr2L	5387428	5387465	+	437
394	chr2L	5517781	5517839	+	1032
395	chr2L	5520073	5520434	+	21966
396	chr2L	5524109	5524170	+	1663
397	chr2L	5524267	5524382	+	6269
398	chr2L	5525904	5525917	+	439
399	chr2L	5526932	5527016	+	2315
400	chr2L	5528079	5528151	+	594
401	chr2L	5542503	5542646	+	9455
402	chr2L	5542710	5542852	+	3211
403	chr2L	5543128	5543153	+	248
404	chr2L	5547018	5547154	+	958
405	chr2L	5547195	5547237	+	179
406	chr2L	5547296	5547362	+	1060
407	chr2L	5547663	5547734	+	1379
408	chr2L	5553816	5553928	+	1453
409	chr2L	5555073	5555074	+	515
410	chr2L	5596778	5596856	+	16121
411	chr2L	5597157	5597178	+	109
412	chr2L	5620585	5620605	+	10077
413	chr2L	5642235	5642239	+	383
414	chr2L	5662810	5662908	+	6047
415	chr2L	5668774	5668881	+	14627
416	chr2L	5669053	5669076	+	146
417	chr2L	5669785	5669809	+	153
418	chr2L	5678585	5678663	+	1355
419	chr2L	5721041	5721098	+	1085
420	chr2L	5721220	5721236	+	113
421	chr2L	5724624	5724714	+	2955
422	chr2L	5769718	5769743	+	215
423	chr2L	5783991	5784080	+	6236
424	chr2L	5784419	5784421	+	237
425	chr2L	5802196	5802281	+	1906
426	chr2L	5805375	5805385	+	6843
427	chr2L	5824011	5824012	+	592
428	chr2L	5886001	5886003	+	1001
429	chr2L	5907131	5907144	+	591
430	chr2L	5918549	5918577	+	158
431	chr2L	5943643	5943682	+	829
432	chr2L	5943963	5943974	+	10505
433	chr2L	5944048	5944049	+	241
434	chr2L	5949435	5949501	+	1938
435	chr2L	5968520	5968635	+	3972
436	chr2L	5969820	5969859	+	354
437	chr2L	5981736	5981839	+	26951
438	chr2L	5982354	5982423	+	426
439	chr2L	5982481	5982552	+	261
440	chr2L	5982594	5982816	+	8078
441	chr2L	5985039	5985060	+	829
442	chr2L	5985137	5985188	+	484
443	chr2L	5985430	5985470	+	313
444	chr2L	5986301	5986395	+	8325
445	chr2L	5986501	5986502	+	114
446	chr2L	6000228	6000294	+	715
447	chr2L	6038088	6038173	+	260
448	chr2L	6047982	6048000	+	351
449	chr2L	6048709	6048841	+	3250
450	chr2L	6049875	6049926	+	101
451	chr2L	6050819	6050895	+	4939
452	chr2L	6061119	6061140	+	122
453	chr2L	6062960	6063059	+	22715
454	chr2L	6065996	6066268	+	3255
455	chr2L	6069050	6069157	+	24915
456	chr2L	6069201	6069239	+	276
457	chr2L	6070911	6071157	+	22913
458	chr2L	6072163	6072224	+	1335
459	chr2L	6082580	6082590	+	980
460	chr2L	6083559	6083564	+	211
461	chr2L	6099834	6099903	+	543
462	chr2L	6100119	6100167	+	116
463	chr2L	6100376	6100428	+	3309
464	chr2L	6118446	6118618	+	10995
465	chr2L	6120636	6120787	+	4645
466	chr2L	6120859	6120915	+	146
467	chr2L	6125103	6125260	+	16556
468	chr2L	6130963	6131076	+	6276
469	chr2L	6139403	6139474	+	1441
470	chr2L	6160391	6160505	+	5365
471	chr2L	6169376	6169380	+	257
472	chr2L	6179139	6179140	+	103
473	chr2L	6308785	6308870	+	2168
474	chr2L	6323746	6323867	+	8424
475	chr2L	6338803	6338873	+	5770
476	chr2L	6339785	6339851	+	202
477	chr2L	6341739	6341747	+	1302
478	chr2L	6343699	6343730	+	126
479	chr2L	6360445	6360463	+	204
480	chr2L	6367883	6367884	+	632
481	chr2L	6424200	6424210	+	101
482	chr2L	6424327	6424385	+	1206
483	chr2L	6425253	6425293	+	161
484	chr2L	6456258	6456285	+	795
485	chr2L	6456361	6456463	+	2270
486	chr2L	6480877	6480972	+	3254
487	chr2L	6481015	6481024	+	380
488	chr2L	6481875	6481979	+	2976
489	chr2L	6483363	6483365	+	158
490	chr2L	6483453	6483455	+	110
491	chr2L	6484238	6484295	+	513
492	chr2L	6489058	6489178	+	5790
493	chr2L	6491048	6491097	+	561
494	chr2L	6497024	6497130	+	3318
495	chr2L	6498652	6498658	+	247
496	chr2L	6557784	6557916	+	42782
497	chr2L	6559348	6559503	+	13439
498	chr2L	6562317	6562398	+	1465
499	chr2L	6562654	6562682	+	301
500	chr2L	6611003	6611069	+	653
501	chr2L	6612840	6612848	+	839
502	chr2L	6641856	6641872	+	164
503	chr2L	6649383	6649495	+	2804
504	chr2L	6658495	6658591	+	6921
505	chr2L	6663592	6663660	+	994
506	chr2L	6663933	6664031	+	1587
507	chr2L	6664761	6664885	+	3978
508	chr2L	6670635	6670640	+	92
509	chr2L	6673865	6674027	+	10599
510	chr2L	6717597	6717708	+	2935
511	chr2L	6723911	6723997	+	1994
512	chr2L	6732749	6732768	+	91
513	chr2L	6732841	6733024	+	6108
514	chr2L	6742502	6742509	+	123
515	chr2L	6775682	6775763	+	2271
516	chr2L	6799179	6799270	+	3176
517	chr2L	6852168	6852192	+	184
518	chr2L	6852277	6852403	+	6225
519	chr2L	6854129	6854189	+	2459
520	chr2L	6908057	6908101	+	3092
521	chr2L	6915426	6915527	+	768
522	chr2L	6920654	6920771	+	9856
523	chr2L	6920938	6921002	+	910
524	chr2L	6921231	6921264	+	169
525	chr2L	6921642	6921665	+	292
526	chr2L	6921862	6921899	+	279
527	chr2L	6923922	6923925	+	663
528	chr2L	6925476	6925509	+	219
529	chr2L	6925557	6925559	+	110
530	chr2L	6925730	6925750	+	988
531	chr2L	6926326	6926328	+	147
532	chr2L	6926375	6926458	+	418
533	chr2L	6926614	6926642	+	212
534	chr2L	6926787	6926788	+	405
535	chr2L	6926899	6926959	+	830
536	chr2L	6927014	6927052	+	169
537	chr2L	6927169	6927205	+	285
538	chr2L	6932115	6932220	+	560
539	chr2L	6942026	6942089	+	809
540	chr2L	6950402	6950450	+	3648
541	chr2L	6957009	6957082	+	936
542	chr2L	6958258	6958338	+	946
543	chr2L	6964393	6964568	+	5916
544	chr2L	6972156	6972214	+	776
545	chr2L	6985940	6986004	+	297
546	chr2L	7012237	7012307	+	6537
547	chr2L	7013340	7013377	+	292
548	chr2L	7013418	7013487	+	1684
549	chr2L	7021681	7021682	+	548
550	chr2L	7027514	7027606	+	1806
551	chr2L	7032698	7032787	+	8413
552	chr2L	7037980	7038075	+	3117
553	chr2L	7042352	7042451	+	1179
554	chr2L	7049276	7049313	+	878
555	chr2L	7051186	7051300	+	2951
556	chr2L	7056293	7056380	+	2304
557	chr2L	7063950	7064083	+	38311
558	chr2L	7182079	7182157	+	637
559	chr2L	7182232	7182360	+	3354
560	chr2L	7257441	7257595	+	88042
561	chr2L	7333713	7333714	+	549
562	chr2L	7334026	7334027	+	279
563	chr2L	7388470	7388584	+	5043
564	chr2L	7401276	7401342	+	155
565	chr2L	7402839	7402921	+	7813
566	chr2L	7403141	7403146	+	3139
567	chr2L	7405194	7405235	+	4586
568	chr2L	7412328	7412451	+	3946
569	chr2L	7423763	7423784	+	962
570	chr2L	7423931	7423940	+	265
571	chr2L	7426845	7427127	+	10368
572	chr2L	7437430	7437493	+	1147
573	chr2L	7440847	7440856	+	712
574	chr2L	7466545	7466557	+	2204
575	chr2L	7474645	7474722	+	7586
576	chr2L	7483471	7483490	+	144
577	chr2L	7519635	7519658	+	133
578	chr2L	7636041	7636099	+	449
579	chr2L	7678718	7678720	+	576
580	chr2L	7710885	7710994	+	2785
581	chr2L	7747214	7747359	+	12009
582	chr2L	7754042	7754074	+	107
583	chr2L	7754140	7754264	+	8988
584	chr2L	7764278	7764321	+	774
585	chr2L	7764538	7764539	+	100
586	chr2L	7773359	7773370	+	120
587	chr2L	7781423	7781550	+	7649
588	chr2L	7782848	7782904	+	5520
589	chr2L	7800150	7800179	+	336
590	chr2L	7800364	7800484	+	3371
591	chr2L	7811423	7811452	+	3829
592	chr2L	7814354	7814355	+	277
593	chr2L	7821497	7821634	+	6437
594	chr2L	7821743	7821759	+	147
595	chr2L	7827667	7827926	+	12207
596	chr2L	7831759	7831811	+	530
597	chr2L	7832143	7832212	+	380
598	chr2L	7832422	7832431	+	263
599	chr2L	7832622	7832640	+	347
600	chr2L	7839755	7839841	+	1582
601	chr2L	7840445	7840538	+	1395
602	chr2L	7857076	7857077	+	677
603	chr2L	7885505	7885608	+	19752
604	chr2L	7985242	7985251	+	1467
605	chr2L	7998801	7998959	+	21739
606	chr2L	8029417	8029624	+	19728
607	chr2L	8030719	8030793	+	2252
608	chr2L	8030917	8031034	+	571
609	chr2L	8031286	8031399	+	1741
610	chr2L	8040979	8041173	+	10224
611	chr2L	8043410	8043540	+	1476
612	chr2L	8072832	8072986	+	6888
613	chr2L	8083418	8083470	+	8672
614	chr2L	8083829	8083894	+	386
615	chr2L	8083961	8083988	+	590
616	chr2L	8088320	8088328	+	170
617	chr2L	8089184	8089223	+	158
618	chr2L	8089518	8089520	+	253
619	chr2L	8107852	8107889	+	249
620	chr2L	8124265	8124337	+	4036
621	chr2L	8126965	8127087	+	7408
622	chr2L	8131282	8131300	+	543
623	chr2L	8148949	8148950	+	175
624	chr2L	8159827	8159902	+	2513
625	chr2L	8163072	8163077	+	405
626	chr2L	8194495	8194561	+	596
627	chr2L	8197177	8197269	+	2355
628	chr2L	8198883	8199023	+	1951
629	chr2L	8208481	8208542	+	252
630	chr2L	8211311	8211440	+	42129
631	chr2L	8212876	8213275	+	11961
632	chr2L	8214304	8214313	+	4891
633	chr2L	8215886	8215960	+	6740
634	chr2L	8217691	8217714	+	118
635	chr2L	8265973	8266004	+	167
636	chr2L	8305545	8305648	+	1793
637	chr2L	8308413	8308484	+	2130
638	chr2L	8308651	8308684	+	286
639	chr2L	8311335	8311486	+	998
640	chr2L	8320306	8320511	+	5784
641	chr2L	8327448	8327459	+	1486
642	chr2L	8328293	8328300	+	119
643	chr2L	8329049	8329062	+	6593
644	chr2L	8346610	8346626	+	11884
645	chr2L	8364801	8364949	+	9185
646	chr2L	8365996	8366106	+	20504
647	chr2L	8366245	8366304	+	457
648	chr2L	8370490	8370532	+	816
649	chr2L	8374442	8374524	+	4783
650	chr2L	8376964	8377077	+	2475
651	chr2L	8382761	8382804	+	309
652	chr2L	8382845	8382963	+	2439
653	chr2L	8384431	8384535	+	4780
654	chr2L	8386140	8386146	+	748
655	chr2L	8396625	8396738	+	2381
656	chr2L	8399034	8399038	+	703
657	chr2L	8400391	8400448	+	784
658	chr2L	8403497	8403637	+	4876
659	chr2L	8408018	8408019	+	153
660	chr2L	8415679	8415896	+	36410
661	chr2L	8419848	8419878	+	4527
662	chr2L	8426720	8426915	+	3550
663	chr2L	8426973	8426989	+	209
664	chr2L	8430280	8430362	+	1383
665	chr2L	8430447	8430488	+	265
666	chr2L	8430602	8430614	+	332
667	chr2L	8430699	8430734	+	159
668	chr2L	8437392	8437492	+	6845
669	chr2L	8438126	8438210	+	1320
670	chr2L	8438263	8438327	+	487
671	chr2L	8464482	8464518	+	1364
672	chr2L	8482347	8482417	+	2821
673	chr2L	8488917	8489010	+	4297
674	chr2L	8515008	8515129	+	2653
675	chr2L	8517424	8517659	+	1515
676	chr2L	8521898	8521980	+	316
677	chr2L	8522103	8522225	+	5802
678	chr2L	8529141	8529147	+	1753
679	chr2L	8535786	8535790	+	1047
680	chr2L	8542137	8542153	+	245
681	chr2L	8543333	8543373	+	306
682	chr2L	8673169	8673170	+	690
683	chr2L	8673857	8673858	+	248
684	chr2L	8674615	8674657	+	187
685	chr2L	8675819	8675846	+	275
686	chr2L	8686195	8686307	+	3285
687	chr2L	8705514	8705663	+	5408
688	chr2L	8740547	8740600	+	141
689	chr2L	8752264	8752338	+	2036
690	chr2L	8767772	8767827	+	951
691	chr2L	8862726	8862819	+	580
692	chr2L	8863764	8863801	+	151
693	chr2L	8864843	8864876	+	845
694	chr2L	8865827	8865909	+	441
695	chr2L	8866739	8866859	+	5569
696	chr2L	8891399	8891477	+	2007
697	chr2L	8898785	8898787	+	179
698	chr2L	8937373	8937385	+	2025
699	chr2L	8980583	8980685	+	36372
700	chr2L	8997593	8997721	+	2357
701	chr2L	9071016	9071043	+	180
702	chr2L	9077133	9077203	+	3422
703	chr2L	9097542	9097647	+	10488
704	chr2L	9125735	9125743	+	1996
705	chr2L	9166777	9166833	+	459
706	chr2L	9176355	9176358	+	718
707	chr2L	9177120	9177124	+	1317
708	chr2L	9243189	9243231	+	115
709	chr2L	9327695	9327773	+	1802
710	chr2L	9330748	9330854	+	6995
711	chr2L	9333561	9333572	+	4701
712	chr2L	9333682	9333690	+	1511
713	chr2L	9342792	9342873	+	1542
714	chr2L	9350385	9350492	+	10023
715	chr2L	9367604	9367720	+	3523
716	chr2L	9371967	9371991	+	95
717	chr2L	9387357	9387483	+	12187
718	chr2L	9387590	9387664	+	17731
719	chr2L	9391024	9391068	+	298
720	chr2L	9391464	9391470	+	162
721	chr2L	9426860	9426864	+	1215
722	chr2L	9427840	9427932	+	12026
