cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
99	chr2L	1555129	1555131	+	2	1555130	430	399	1555130	1555130	1
100	chr2L	1611401	1611454	+	14	1611412	497	99	1611412	1611442	31
101	chr2L	1646803	1646807	+	2	1646804	47	25	1646804	1646807	4
102	chr2L	1651258	1651264	+	4	1651260	4300	4159	1651260	1651260	1
103	chr2L	1697198	1697229	+	3	1697227	35	19	1697199	1697229	31
104	chr2L	1704884	1704978	+	22	1704904	2672	924	1704902	1704958	57
105	chr2L	1705131	1705135	+	2	1705132	68	49	1705132	1705135	4
106	chr2L	1710436	1710523	+	35	1710491	6215	928	1710445	1710501	57
107	chr2L	1728733	1728849	+	27	1728754	2706	621	1728737	1728795	59
108	chr2L	1729873	1729942	+	11	1729917	1560	957	1729886	1729917	32
109	chr2L	1732554	1732555	+	1	1732555	143	143	1732555	1732555	1
110	chr2L	1737461	1737471	+	9	1737469	8881	6132	1737465	1737469	5
111	chr2L	1884570	1884685	+	28	1884685	2433	1172	1884623	1884685	63
112	chr2L	1911742	1911744	+	2	1911744	513	493	1911744	1911744	1
113	chr2L	1974095	1974175	+	21	1974126	1441	311	1974114	1974152	39
114	chr2L	1981187	1981304	+	22	1981197	293	88	1981192	1981233	42
115	chr2L	1981344	1981373	+	3	1981373	34	20	1981345	1981373	29
116	chr2L	1982180	1982273	+	25	1982219	2212	1046	1982210	1982226	17
117	chr2L	1982313	1982336	+	2	1982336	7	4	1982314	1982336	23
118	chr2L	1988250	1988414	+	45	1988292	30645	19614	1988286	1988301	16
119	chr2L	1988471	1988501	+	4	1988472	243	109	1988472	1988501	30
120	chr2L	2009827	2009857	+	3	2009857	87	64	2009854	2009857	4
121	chr2L	2029516	2029524	+	3	2029519	538	375	2029517	2029519	3
122	chr2L	2037685	2037798	+	34	2037711	4569	1202	2037711	2037785	75
123	chr2L	2045487	2045567	+	19	2045503	237	75	2045503	2045538	36
124	chr2L	2079987	2080004	+	2	2079988	2	1	2079988	2080004	17
125	chr2L	2130816	2130920	+	33	2130817	13062	5902	2130817	2130882	66
126	chr2L	2147315	2147393	+	12	2147369	532	89	2147328	2147386	59
127	chr2L	2147513	2147620	+	20	2147568	1016	355	2147548	2147587	40
128	chr2L	2151742	2151864	+	27	2151771	1516	364	2151749	2151777	29
129	chr2L	2151911	2151945	+	4	2151912	6	2	2151912	2151945	34
130	chr2L	2214239	2214318	+	16	2214300	906	172	2214262	2214303	42
131	chr2L	2217249	2217354	+	13	2217290	384	72	2217250	2217346	97
132	chr2L	2220718	2220828	+	14	2220780	1174	242	2220749	2220798	50
133	chr2L	2222089	2222094	+	2	2222090	208	188	2222090	2222090	1
134	chr2L	2226361	2226371	+	2	2226362	6	4	2226362	2226371	10
135	chr2L	2226479	2226621	+	28	2226523	4234	2000	2226523	2226545	23
136	chr2L	2226800	2226802	+	2	2226801	73	45	2226801	2226802	2
137	chr2L	2226948	2226951	+	2	2226951	75	52	2226949	2226951	3
138	chr2L	2245268	2245314	+	3	2245287	3	1	2245269	2245314	46
139	chr2L	2300095	2300099	+	2	2300099	3	2	2300096	2300099	4
140	chr2L	2307938	2307945	+	4	2307941	594	416	2307939	2307945	7
141	chr2L	2365317	2365419	+	31	2365357	3727	673	2365344	2365388	45
142	chr2L	2374689	2374718	+	2	2374718	131	95	2374690	2374718	29
143	chr2L	2375880	2375927	+	8	2375881	506	281	2375881	2375924	44
144	chr2L	2376119	2376169	+	3	2376146	3	1	2376120	2376169	50
145	chr2L	2381079	2381187	+	11	2381096	448	86	2381096	2381137	42
146	chr2L	2420790	2420838	+	5	2420834	163	66	2420791	2420838	48
147	chr2L	2451229	2451245	+	4	2451241	960	720	2451230	2451241	12
148	chr2L	2492858	2492966	+	20	2492955	1471	810	2492904	2492955	52
149	chr2L	2496942	2496945	+	2	2496943	14	11	2496943	2496945	3
150	chr2L	2577679	2577703	+	6	2577695	225	61	2577680	2577703	24
151	chr2L	2580261	2580354	+	33	2580322	5949	1723	2580288	2580337	50
152	chr2L	2592116	2592128	+	2	2592117	19	12	2592117	2592128	12
153	chr2L	2653084	2653144	+	3	2653144	6	3	2653085	2653144	60
154	chr2L	2730102	2730130	+	7	2730129	1974	1427	2730106	2730129	24
155	chr2L	2735811	2735814	+	2	2735814	838	754	2735812	2735814	3
156	chr2L	2740036	2740075	+	10	2740070	964	383	2740048	2740070	23
157	chr2L	2740983	2741006	+	4	2740984	419	243	2740984	2740998	15
158	chr2L	2745100	2745147	+	9	2745105	717	449	2745105	2745127	23
159	chr2L	2752800	2752808	+	6	2752803	12190	11598	2752803	2752803	1
160	chr2L	2753233	2753241	+	7	2753238	6500	5764	2753237	2753238	2
161	chr2L	2756098	2756150	+	7	2756099	344	84	2756099	2756150	52
162	chr2L	2756267	2756291	+	6	2756289	325	119	2756269	2756290	22
163	chr2L	2759924	2759993	+	8	2759963	391	158	2759933	2759967	35
164	chr2L	2766193	2766329	+	20	2766242	1953	809	2766242	2766295	54
165	chr2L	2766373	2766401	+	3	2766401	113	57	2766374	2766401	28
166	chr2L	2767881	2768005	+	32	2767913	4103	1032	2767898	2767944	47
167	chr2L	2770061	2770281	+	75	2770139	34175	6813	2770139	2770182	44
168	chr2L	2808296	2808300	+	2	2808300	207	156	2808297	2808300	4
169	chr2L	2812422	2812462	+	3	2812423	4	2	2812423	2812462	40
170	chr2L	2856045	2856182	+	52	2856117	49752	30064	2856112	2856119	8
171	chr2L	2857156	2857194	+	11	2857181	1305	310	2857163	2857194	32
172	chr2L	2862538	2862539	+	1	2862539	158	158	2862539	2862539	1
173	chr2L	2866277	2866303	+	2	2866278	62	32	2866278	2866303	26
174	chr2L	2866841	2866848	+	3	2866845	108	58	2866842	2866848	7
175	chr2L	2869636	2869640	+	2	2869637	2	1	2869637	2869640	4
176	chr2L	2874866	2875025	+	19	2874940	1021	172	2874877	2874950	74
177	chr2L	2878483	2878523	+	8	2878523	1139	691	2878495	2878523	29
178	chr2L	2879095	2879192	+	21	2879136	976	165	2879113	2879170	58
179	chr2L	2885896	2885979	+	17	2885937	2064	610	2885927	2885940	14
180	chr2L	2888247	2888253	+	4	2888250	491	401	2888250	2888251	2
181	chr2L	2946539	2946546	+	2	2946540	2	1	2946540	2946546	7
182	chr2L	2954725	2954861	+	35	2954773	4555	837	2954753	2954815	63
183	chr2L	2959145	2959147	+	2	2959147	724	703	2959147	2959147	1
184	chr2L	2972871	2972909	+	11	2972896	1136	490	2972875	2972906	32
185	chr2L	2977063	2977183	+	26	2977131	679	201	2977114	2977158	45
186	chr2L	2977228	2977241	+	2	2977229	87	67	2977229	2977241	13
187	chr2L	2988016	2988200	+	43	2988127	3613	493	2988116	2988163	48
188	chr2L	2992938	2993037	+	32	2992994	3544	626	2992964	2993010	47
189	chr2L	2999279	2999290	+	4	2999286	1033	971	2999286	2999286	1
190	chr2L	3023221	3023285	+	14	3023237	1627	335	3023226	3023252	27
191	chr2L	3029256	3029269	+	3	3029257	669	573	3029257	3029258	2
192	chr2L	3030498	3030562	+	9	3030550	919	594	3030544	3030550	7
193	chr2L	3037484	3037556	+	12	3037546	409	145	3037528	3037553	26
194	chr2L	3040105	3040135	+	5	3040115	190	77	3040112	3040135	24
195	chr2L	3042914	3042967	+	5	3042915	8	3	3042915	3042967	53
196	chr2L	3043949	3043950	+	1	3043950	124	124	3043950	3043950	1
197	chr2L	3056595	3056603	+	7	3056601	10449	4084	3056599	3056602	4
198	chr2L	3067424	3067426	+	2	3067425	62	32	3067425	3067426	2
199	chr2L	3159938	3160034	+	17	3160006	1189	264	3159955	3160008	54
200	chr2L	3163602	3163744	+	37	3163650	8182	4009	3163636	3163694	59
201	chr2L	3269733	3269748	+	2	3269734	3	2	3269734	3269748	15
202	chr2L	3304079	3304083	+	2	3304083	43	24	3304080	3304083	4
203	chr2L	3324219	3324299	+	19	3324247	22910	12655	3324243	3324247	5
204	chr2L	3324945	3324948	+	2	3324948	54	30	3324946	3324948	3
205	chr2L	3325903	3325910	+	2	3325904	52	26	3325904	3325910	7
206	chr2L	3357668	3357733	+	3	3357695	3	1	3357669	3357733	65
207	chr2L	3376974	3377069	+	21	3377006	2444	854	3377002	3377036	35
208	chr2L	3410558	3410634	+	6	3410561	9	2	3410559	3410634	76
209	chr2L	3449678	3449791	+	29	3449695	3339	1069	3449695	3449753	59
210	chr2L	3452451	3452540	+	19	3452484	874	136	3452452	3452518	67
211	chr2L	3452580	3452584	+	2	3452581	119	106	3452581	3452584	4
212	chr2L	3457305	3457420	+	14	3457350	641	122	3457306	3457371	66
213	chr2L	3466078	3466350	+	49	3466168	8776	1941	3466163	3466219	57
214	chr2L	3478430	3478438	+	7	3478434	17142	16215	3478434	3478434	1
215	chr2L	3478711	3478733	+	2	3478733	107	77	3478712	3478733	22
216	chr2L	3514842	3514909	+	12	3514886	983	258	3514850	3514888	39
217	chr2L	3525131	3525151	+	6	3525133	2861	2542	3525133	3525133	1
218	chr2L	3619262	3619267	+	2	3619263	196	174	3619263	3619267	5
219	chr2L	3700207	3700208	+	1	3700208	146	146	3700208	3700208	1
220	chr2L	3700673	3700675	+	2	3700674	88	69	3700674	3700675	2
221	chr2L	3701287	3701292	+	2	3701292	73	44	3701288	3701292	5
222	chr2L	3701831	3701834	+	2	3701834	92	61	3701832	3701834	3
223	chr2L	3703644	3703645	+	1	3703645	116	116	3703645	3703645	1
224	chr2L	3713324	3713406	+	22	3713388	1570	392	3713355	3713398	44
225	chr2L	3718186	3718187	+	1	3718187	408	408	3718187	3718187	1
226	chr2L	3771705	3771708	+	3	3771707	831	762	3771707	3771707	1
227	chr2L	3787168	3787180	+	5	3787170	1166	832	3787170	3787180	11
228	chr2L	3803406	3803529	+	9	3803486	318	126	3803464	3803490	27
229	chr2L	3805683	3805684	+	1	3805684	115	115	3805684	3805684	1
230	chr2L	3862655	3862710	+	6	3862656	168	66	3862656	3862684	29
231	chr2L	3867703	3867749	+	13	3867714	485	141	3867708	3867734	27
232	chr2L	3870078	3870116	+	2	3870079	2	1	3870079	3870116	38
233	chr2L	3872524	3872550	+	4	3872550	169	54	3872525	3872550	26
234	chr2L	4004056	4004070	+	2	4004070	173	92	4004057	4004070	14
235	chr2L	4004927	4004987	+	18	4004984	6166	3408	4004938	4004984	47
236	chr2L	4006034	4006046	+	5	4006041	827	598	4006040	4006041	2
237	chr2L	4007649	4007660	+	2	4007660	63	45	4007650	4007660	11
238	chr2L	4008664	4008669	+	3	4008669	162	121	4008665	4008669	5
239	chr2L	4031378	4031396	+	7	4031383	3405	2286	4031379	4031385	7
240	chr2L	4097228	4097277	+	7	4097229	1035	420	4097229	4097252	24
241	chr2L	4121702	4121704	+	2	4121703	164	144	4121703	4121704	2
242	chr2L	4149276	4149283	+	4	4149278	12	9	4149278	4149281	4
243	chr2L	4188103	4188120	+	2	4188104	282	259	4188104	4188104	1
244	chr2L	4227661	4227772	+	60	4227710	138148	31649	4227701	4227721	21
245	chr2L	4227857	4227884	+	2	4227884	9	8	4227858	4227884	27
246	chr2L	4228051	4228251	+	39	4228128	4209	1015	4228073	4228214	142
247	chr2L	4257563	4257586	+	5	4257575	5	1	4257564	4257586	23
248	chr2L	4283150	4283151	+	1	4283151	96	96	4283151	4283151	1
249	chr2L	4324509	4324559	+	7	4324559	942	863	4324559	4324559	1
250	chr2L	4333902	4333927	+	8	4333926	3696	2857	4333920	4333926	7
251	chr2L	4388312	4388337	+	11	4388330	3605	3086	4388325	4388330	6
252	chr2L	4388476	4388510	+	8	4388499	1080	383	4388495	4388506	12
253	chr2L	4388575	4388580	+	3	4388577	226	186	4388577	4388577	1
254	chr2L	4394148	4394262	+	14	4394235	1777	1226	4394198	4394235	38
255	chr2L	4403216	4403317	+	33	4403269	5700	1910	4403255	4403287	33
256	chr2L	4434398	4434460	+	4	4434448	5	2	4434399	4434460	62
257	chr2L	4442333	4442476	+	36	4442427	2546	596	4442398	4442454	57
258	chr2L	4444709	4444802	+	22	4444752	2555	988	4444734	4444786	53
259	chr2L	4454575	4454690	+	17	4454623	36	6	4454576	4454684	109
260	chr2L	4454761	4454782	+	3	4454762	5	2	4454762	4454782	21
261	chr2L	4459870	4459956	+	11	4459925	582	122	4459874	4459928	55
262	chr2L	4463566	4463701	+	17	4463630	373	107	4463605	4463644	40
263	chr2L	4465176	4465184	+	3	4465180	176	81	4465177	4465184	8
264	chr2L	4576994	4576998	+	2	4576995	56	35	4576995	4576998	4
265	chr2L	4641273	4641278	+	3	4641277	150	95	4641274	4641278	5
266	chr2L	4682696	4682856	+	35	4682716	941	181	4682716	4682769	54
267	chr2L	4762883	4762919	+	6	4762911	17	6	4762905	4762919	15
268	chr2L	4794564	4794653	+	4	4794624	58	35	4794624	4794653	30
269	chr2L	4813010	4813014	+	2	4813014	192	157	4813011	4813014	4
270	chr2L	4821775	4821776	+	1	4821776	106	106	4821776	4821776	1
271	chr2L	4838291	4838367	+	9	4838346	1250	949	4838325	4838346	22
272	chr2L	4838429	4838432	+	2	4838430	16	14	4838430	4838432	3
273	chr2L	4838988	4838989	+	1	4838989	134	134	4838989	4838989	1
274	chr2L	4847729	4847845	+	27	4847782	909	277	4847763	4847803	41
275	chr2L	4850639	4850691	+	9	4850674	701	173	4850646	4850691	46
276	chr2L	4882572	4882601	+	2	4882573	17	10	4882573	4882601	29
277	chr2L	4883299	4883381	+	24	4883321	1990	657	4883300	4883348	49
278	chr2L	4892110	4892122	+	7	4892117	1458	1144	4892115	4892117	3
279	chr2L	4945561	4945626	+	16	4945594	1102	309	4945565	4945612	48
280	chr2L	4945724	4945728	+	2	4945728	253	209	4945725	4945728	4
281	chr2L	4955500	4955568	+	10	4955568	210	44	4955521	4955568	48
282	chr2L	4965644	4965800	+	42	4965724	7370	1044	4965674	4965747	74
283	chr2L	4968978	4969066	+	24	4969009	3782	904	4968991	4969025	35
284	chr2L	4969174	4969267	+	9	4969196	14	4	4969175	4969252	78
285	chr2L	4969764	4969773	+	2	4969765	20	15	4969765	4969773	9
286	chr2L	4971657	4971774	+	31	4971732	2844	687	4971704	4971747	44
287	chr2L	4973939	4974093	+	39	4973996	3571	758	4973982	4974020	39
288	chr2L	4977252	4977377	+	25	4977316	1636	272	4977274	4977374	101
289	chr2L	4977473	4977474	+	1	4977474	94	94	4977474	4977474	1
290	chr2L	4977543	4977572	+	2	4977544	131	103	4977544	4977572	29
291	chr2L	4977616	4977642	+	2	4977642	3	2	4977617	4977642	26
292	chr2L	4981612	4981633	+	10	4981616	1944	1491	4981616	4981625	10
293	chr2L	4981673	4981693	+	4	4981676	133	52	4981674	4981693	20
294	chr2L	5010890	5010955	+	3	5010955	7	3	5010891	5010955	65
295	chr2L	5011054	5011189	+	36	5011102	5407	2322	5011092	5011121	30
296	chr2L	5011493	5011517	+	4	5011513	76	38	5011494	5011514	21
297	chr2L	5029611	5029698	+	20	5029687	4528	1580	5029612	5029694	83
298	chr2L	5030728	5030775	+	5	5030775	167	63	5030729	5030775	47
299	chr2L	5031318	5031446	+	8	5031446	404	174	5031321	5031446	126
300	chr2L	5031767	5031770	+	2	5031770	65	45	5031768	5031770	3
301	chr2L	5043241	5043374	+	34	5043266	5748	1497	5043266	5043313	48
302	chr2L	5044435	5044468	+	11	5044457	3145	2735	5044457	5044457	1
303	chr2L	5045296	5045409	+	20	5045398	11282	8106	5045377	5045398	22
304	chr2L	5046328	5046330	+	2	5046329	63	34	5046329	5046330	2
305	chr2L	5052817	5052944	+	17	5052846	791	201	5052842	5052891	50
306	chr2L	5055019	5055028	+	2	5055020	2	1	5055020	5055028	9
307	chr2L	5055088	5055299	+	66	5055185	13457	4980	5055128	5055229	102
308	chr2L	5055362	5055364	+	2	5055364	55	37	5055363	5055364	2
309	chr2L	5060816	5060817	+	1	5060817	93	93	5060817	5060817	1
310	chr2L	5070956	5071103	+	58	5071006	158643	66255	5071003	5071007	5
311	chr2L	5071226	5071290	+	11	5071281	719	206	5071245	5071281	37
312	chr2L	5093975	5094061	+	10	5093976	508	115	5093976	5094061	86
313	chr2L	5096400	5096462	+	10	5096436	508	121	5096401	5096436	36
314	chr2L	5100854	5100855	+	1	5100855	280	280	5100855	5100855	1
315	chr2L	5108535	5108539	+	2	5108536	1684	1649	5108536	5108536	1
316	chr2L	5146351	5146358	+	3	5146353	265	172	5146352	5146358	7
317	chr2L	5146798	5146826	+	4	5146810	7	2	5146799	5146826	28
318	chr2L	5151725	5151727	+	2	5151727	888	864	5151727	5151727	1
319	chr2L	5218254	5218260	+	4	5218260	2199	1995	5218260	5218260	1
320	chr2L	5242688	5242786	+	23	5242723	2132	291	5242700	5242741	42
321	chr2L	5242849	5242890	+	8	5242873	219	56	5242854	5242890	37
322	chr2L	5242973	5243015	+	5	5242974	141	39	5242974	5243015	42
323	chr2L	5263977	5263985	+	6	5263980	2288	1757	5263980	5263983	4
324	chr2L	5279019	5279125	+	20	5279071	1425	814	5279054	5279074	21
325	chr2L	5288963	5288988	+	3	5288978	83	33	5288964	5288988	25
326	chr2L	5305702	5305712	+	4	5305708	2202	2060	5305708	5305708	1
327	chr2L	5305872	5305875	+	2	5305873	421	363	5305873	5305875	3
328	chr2L	5327207	5327313	+	55	5327269	64264	14673	5327228	5327269	42
329	chr2L	5327402	5327516	+	17	5327495	456	177	5327483	5327516	34
330	chr2L	5329855	5329862	+	5	5329860	1255	813	5329856	5329860	5
331	chr2L	5520163	5520434	+	59	5520307	10881	4408	5520238	5520311	74
332	chr2L	5524127	5524155	+	3	5524130	4	2	5524128	5524155	28
333	chr2L	5524267	5524382	+	29	5524330	4152	713	5524307	5524342	36
334	chr2L	5525904	5525917	+	4	5525917	355	131	5525905	5525917	13
335	chr2L	5526932	5527016	+	17	5526966	1209	290	5526951	5526986	36
336	chr2L	5528079	5528151	+	7	5528094	402	143	5528082	5528151	70
337	chr2L	5528236	5528241	+	2	5528237	4	2	5528237	5528241	5
338	chr2L	5542503	5542646	+	29	5542544	6142	3192	5542537	5542565	29
339	chr2L	5542710	5542825	+	18	5542802	49	9	5542720	5542804	85
340	chr2L	5543134	5543153	+	3	5543135	8	3	5543135	5543153	19
341	chr2L	5545439	5545468	+	3	5545468	70	42	5545440	5545468	29
342	chr2L	5547018	5547154	+	14	5547066	324	75	5547048	5547127	80
343	chr2L	5547195	5547237	+	4	5547237	102	29	5547196	5547237	42
344	chr2L	5547296	5547362	+	6	5547297	608	495	5547297	5547301	5
345	chr2L	5547663	5547705	+	5	5547674	11	3	5547664	5547705	42
346	chr2L	5547806	5547810	+	2	5547807	2	1	5547807	5547810	4
347	chr2L	5555073	5555074	+	1	5555074	409	409	5555074	5555074	1
348	chr2L	5596826	5596834	+	4	5596830	5	2	5596827	5596834	8
349	chr2L	5620585	5620605	+	10	5620598	8993	7896	5620598	5620598	1
350	chr2L	5668774	5668824	+	3	5668824	7	5	5668775	5668824	50
351	chr2L	5669053	5669076	+	3	5669060	18	8	5669054	5669076	23
352	chr2L	5669785	5669809	+	2	5669786	9	6	5669786	5669809	24
353	chr2L	5669858	5669891	+	2	5669859	4	2	5669859	5669891	33
354	chr2L	5678612	5678650	+	2	5678613	2	1	5678613	5678650	38
355	chr2L	5721041	5721098	+	11	5721065	623	231	5721059	5721081	23
356	chr2L	5724624	5724714	+	21	5724699	1720	344	5724639	5724699	61
357	chr2L	5784015	5784049	+	3	5784039	4	2	5784016	5784049	34
358	chr2L	5802196	5802281	+	14	5802223	1440	453	5802223	5802252	30
359	chr2L	5805375	5805385	+	7	5805381	4032	3502	5805380	5805381	2
360	chr2L	5824011	5824012	+	1	5824012	491	491	5824012	5824012	1
361	chr2L	5886001	5886003	+	2	5886003	971	949	5886003	5886003	1
362	chr2L	5907131	5907144	+	3	5907139	425	382	5907139	5907139	1
363	chr2L	5943643	5943682	+	9	5943658	609	212	5943644	5943674	31
364	chr2L	5943963	5943974	+	8	5943971	8175	5106	5943966	5943971	6
365	chr2L	5944048	5944049	+	1	5944049	183	183	5944049	5944049	1
366	chr2L	5949435	5949501	+	14	5949457	1316	392	5949451	5949484	34
367	chr2L	5981736	5981839	+	31	5981766	19053	11234	5981765	5981786	22
368	chr2L	5982390	5982423	+	3	5982423	7	4	5982391	5982423	33
369	chr2L	5982481	5982552	+	7	5982492	17	6	5982482	5982516	35
370	chr2L	5982594	5982816	+	33	5982601	3158	1850	5982598	5982715	118
371	chr2L	5984196	5984241	+	3	5984197	74	33	5984197	5984241	45
372	chr2L	5985039	5985060	+	7	5985058	514	340	5985043	5985058	16
373	chr2L	5985137	5985188	+	4	5985138	286	159	5985138	5985188	51
374	chr2L	5985228	5985269	+	3	5985269	53	22	5985229	5985269	41
375	chr2L	5985430	5985470	+	4	5985470	202	119	5985431	5985470	40
376	chr2L	5986301	5986395	+	25	5986393	4872	1975	5986350	5986393	44
377	chr2L	5986501	5986502	+	1	5986502	94	94	5986502	5986502	1
378	chr2L	5987079	5987112	+	2	5987080	50	25	5987080	5987112	33
379	chr2L	6000228	6000294	+	9	6000231	396	127	6000229	6000291	63
