#gene_ID	consensus_cluster_ID	cluster_in_bam	gene_name
FBgn0000052	cluster2029	clusterTSS_bam_1655	ade2
FBgn0002962	cluster11095	clusterTSS_bam_9083	nos
FBgn0003016	cluster2687	clusterTSS_bam_2194	osp
FBgn0003023	cluster16080	clusterTSS_bam_13437	otu
FBgn0003028	cluster14590	clusterTSS_bam_12043	ovo
FBgn0003090	cluster3358	clusterTSS_bam_2685	pk
FBgn0003118	cluster13520	clusterTSS_bam_11080	pnt
FBgn0003129	cluster12378	clusterTSS_bam_10081	Poxm
FBgn0003139	cluster15946	clusterTSS_bam_13302	PpV
FBgn0003149	cluster8925	clusterTSS_bam_7316	Prm
FBgn0003162	cluster4523	clusterTSS_bam_3674	Pu
FBgn0003165	cluster12451	clusterTSS_bam_10159	pum
FBgn0003174	cluster3366	clusterTSS_bam_2689	pwn
FBgn0003205	cluster12485	clusterTSS_bam_10188	Ras85D
FBgn0003227	cluster13001	clusterTSS_bam_10651	rec
FBgn0003257	cluster13355	clusterTSS_bam_10946	r-l
FBgn0003278	cluster47	clusterTSS_bam_42	RpI135
FBgn0003279	cluster11750	clusterTSS_bam_9609	RpL4
FBgn0003360	cluster16229	clusterTSS_bam_13569	sesB
FBgn0003366	cluster16248	clusterTSS_bam_13588	sev
FBgn0003390	cluster15975	clusterTSS_bam_13331	shf
FBgn0003401	cluster6482	clusterTSS_bam_5288	shu
FBgn0003447	cluster14772	clusterTSS_bam_12203	sn
FBgn0003495	cluster13816	clusterTSS_bam_11345	spz
FBgn0003514	cluster15928	clusterTSS_bam_13284	sqh
FBgn0003517	cluster15672	clusterTSS_bam_13059	sta
FBgn0003525	cluster13959	clusterTSS_bam_11470	stg
FBgn0003882	cluster10017	clusterTSS_bam_8177	tub
FBgn0003887	cluster6156	clusterTSS_bam_5025	betaTub56D
FBgn0003888	cluster4841	clusterTSS_bam_3944	betaTub60D
FBgn0003941	cluster298	clusterTSS_bam_244	RpL40
FBgn0003963	cluster54	clusterTSS_bam_50	ush
FBgn0003969	cluster16550	clusterTSS_bam_13864	vap
FBgn0003984	cluster8712	clusterTSS_bam_7134	vn
FBgn0004047	cluster15143	clusterTSS_bam_12563	Yp3
FBgn0004055	cluster4903	clusterTSS_bam_4000	uzip
FBgn0004087	cluster10931	clusterTSS_bam_8949	Dhfr
FBgn0004103	cluster12750	clusterTSS_bam_10440	Pp1-87B
FBgn0004107	cluster11184	clusterTSS_bam_9150	Cdk2
FBgn0004108	cluster7795	clusterTSS_bam_6397	Nrt
FBgn0004167	cluster6900	clusterTSS_bam_5658	kst
FBgn0004169	cluster16392	clusterTSS_bam_13724	up
FBgn0004177	cluster595	clusterTSS_bam_511	mts
FBgn0004359	cluster11695	clusterTSS_bam_9566	T48
FBgn0004360	cluster3553	clusterTSS_bam_2852	Wnt2
FBgn0004362	cluster4571	clusterTSS_bam_3719	HmgD
FBgn0004364	cluster4439	clusterTSS_bam_3605	18w
FBgn0004390	cluster9040	clusterTSS_bam_7433	RasGAP1
FBgn0004395	cluster13500	clusterTSS_bam_11068	unk
FBgn0004431	cluster8366	clusterTSS_bam_6838	LysX
FBgn0004569	cluster9455	clusterTSS_bam_7764	aos
FBgn0004583	cluster51	clusterTSS_bam_47	ex
FBgn0004598	cluster15296	clusterTSS_bam_12713	Fur2
FBgn0004636	cluster8439	clusterTSS_bam_6898	R
FBgn0004647	cluster14498	clusterTSS_bam_11951	N
FBgn0004656	cluster16042	clusterTSS_bam_13398	fs(1)h
FBgn0004657	cluster14773	clusterTSS_bam_12205	mys
FBgn0004838	cluster522	clusterTSS_bam_447	Hrb27C
FBgn0004860	cluster15714	clusterTSS_bam_13100	ph-d
FBgn0004861	cluster15715	clusterTSS_bam_13101	ph-p
FBgn0004865	cluster8084	clusterTSS_bam_6626	Eip78C
FBgn0004872	cluster2463	clusterTSS_bam_2030	piwi
FBgn0004888	cluster6919	clusterTSS_bam_5676	Scsalpha
FBgn0004901	cluster12344	clusterTSS_bam_10052	Prat
FBgn0004907	cluster3616	clusterTSS_bam_2906	14-3-3zeta
FBgn0005593	cluster801	clusterTSS_bam_694	RpL7
FBgn0005630	cluster5423	clusterTSS_bam_4398	lola
FBgn0005655	cluster6190	clusterTSS_bam_5047	PCNA
FBgn0005696	cluster11713	clusterTSS_bam_9580	DNApol-alpha73
FBgn0010038	cluster10624	clusterTSS_bam_8657	GstD2
FBgn0010113	cluster11917	clusterTSS_bam_9745	hdc
FBgn0010217	cluster14219	clusterTSS_bam_11683	ATPsyn-beta
FBgn0010246	cluster6710	clusterTSS_bam_5488	Myo61F
FBgn0010265	cluster2242	clusterTSS_bam_1844	RpS13
FBgn0010269	cluster14866	clusterTSS_bam_12298	Dsor1
FBgn0010300	cluster1351	clusterTSS_bam_1112	brat
FBgn0010315	cluster16543	clusterTSS_bam_13857	CycD
FBgn0010333	cluster8368	clusterTSS_bam_6840	Rac1
FBgn0010341	cluster15474	clusterTSS_bam_12893	Cdc42
FBgn0010342	cluster3562	clusterTSS_bam_2861	Map60
FBgn0010348	cluster9906	clusterTSS_bam_8115	Arf79F
FBgn0010383	cluster16733	clusterTSS_bam_14030	Cyp18a1
FBgn0010395	cluster1481	clusterTSS_bam_1219	Itgbetanu
FBgn0010409	cluster6009	clusterTSS_bam_4889	RpL18A
FBgn0010412	cluster15317	clusterTSS_bam_12735	RpS19a
FBgn0010415	cluster6273	clusterTSS_bam_5113	Sdc
FBgn0010453	cluster2157	clusterTSS_bam_1757	Wnt4
FBgn0010501	cluster4725	clusterTSS_bam_3834	Dcp-1
FBgn0010531	cluster5382	clusterTSS_bam_4371	Ccs
FBgn0010620	cluster4190	clusterTSS_bam_3395	Sip1
FBgn0010622	cluster6407	clusterTSS_bam_5227	l(2)06496
FBgn0010768	cluster11096	clusterTSS_bam_9085	sqz
FBgn0010770	cluster11231	clusterTSS_bam_9196	ppan
FBgn0010825	cluster7197	clusterTSS_bam_5897	Gug
FBgn0010894	cluster8690	clusterTSS_bam_7107	sinu
FBgn0010909	cluster8486	clusterTSS_bam_6938	msn
FBgn0010926	cluster13115	clusterTSS_bam_10755	l(3)07882
FBgn0011260	cluster4118	clusterTSS_bam_3333	Sema-2a
FBgn0011272	cluster779	clusterTSS_bam_676	RpL13
FBgn0011300	cluster3510	clusterTSS_bam_2812	babo
FBgn0011481	cluster13150	clusterTSS_bam_10794	Ssdp
FBgn0011571	cluster15284	clusterTSS_bam_12697	caz
FBgn0011591	cluster9783	clusterTSS_bam_8019	fng
FBgn0011603	cluster1907	clusterTSS_bam_1556	ine
FBgn0011674	cluster6228	clusterTSS_bam_5076	insc
FBgn0011692	cluster6951	clusterTSS_bam_5704	pav
FBgn0011695	cluster4794	clusterTSS_bam_3894	PebIII
FBgn0011703	cluster2390	clusterTSS_bam_1968	RnrL
FBgn0011704	cluster5511	clusterTSS_bam_4475	RnrS
FBgn0011706	cluster9592	clusterTSS_bam_7875	rpr
FBgn0011741	cluster16517	clusterTSS_bam_13829	Arp6
FBgn0011760	cluster14571	clusterTSS_bam_12028	ctp
FBgn0011761	cluster14595	clusterTSS_bam_12048	dhd
FBgn0011762	cluster7186	clusterTSS_bam_5887	DNApol-alpha50
FBgn0011763	cluster3879	clusterTSS_bam_3135	Dp
FBgn0011764	cluster15289	clusterTSS_bam_12706	Dsp1
FBgn0011771	cluster9876	clusterTSS_bam_8090	Hem
FBgn0011824	cluster6243	clusterTSS_bam_5087	CG4038
FBgn0012034	cluster9805	clusterTSS_bam_8036	AcCoAS
FBgn0013269	cluster12974	clusterTSS_bam_10628	FK506-bp1
FBgn0013272	cluster4617	clusterTSS_bam_3752	Gp150
FBgn0013276	cluster10600	clusterTSS_bam_8646	Hsp70Ab
FBgn0013325	cluster4401	clusterTSS_bam_3579	RpL11
FBgn0013342	cluster8402	clusterTSS_bam_6866	nSyb
FBgn0013726	cluster3456	clusterTSS_bam_2772	pnut
FBgn0013759	cluster13407	clusterTSS_bam_10988	CASK
FBgn0013770	cluster3926	clusterTSS_bam_3170	Cp1
FBgn0013772	cluster5786	clusterTSS_bam_4699	Cyp6a8
FBgn0013984	cluster13396	clusterTSS_bam_10976	InR
FBgn0014011	cluster8820	clusterTSS_bam_7227	Rac2
FBgn0014026	cluster15953	clusterTSS_bam_13310	RpL7A
FBgn0014028	cluster3326	clusterTSS_bam_2657	SdhB
FBgn0014029	cluster13318	clusterTSS_bam_10917	Sep2
FBgn0014073	cluster8638	clusterTSS_bam_7059	Tie
FBgn0014143	cluster9822	clusterTSS_bam_8050	croc
FBgn0014163	cluster9452	clusterTSS_bam_7761	fax
FBgn0014184	cluster5529	clusterTSS_bam_4493	Oda
FBgn0014427	cluster11825	clusterTSS_bam_9668	CG11899
FBgn0014861	cluster10307	clusterTSS_bam_8402	Mcm2
FBgn0015000	cluster338	clusterTSS_bam_279	betaggt-I
FBgn0015040	cluster4874	clusterTSS_bam_3974	Cyp9c1
FBgn0015268	cluster6502	clusterTSS_bam_5307	Nap1
FBgn0015277	cluster4726	clusterTSS_bam_3835	Pi3K59F
FBgn0015286	cluster15788	clusterTSS_bam_13164	Rala
FBgn0015391	cluster2795	clusterTSS_bam_2267	glu
FBgn0015393	cluster748	clusterTSS_bam_646	hoip
FBgn0015396	cluster10486	clusterTSS_bam_8560	jumu
FBgn0015399	cluster2585	clusterTSS_bam_2120	kek1
FBgn0015541	cluster11696	clusterTSS_bam_9568	sda
FBgn0015553	cluster2891	clusterTSS_bam_2329	tos
FBgn0015577	cluster12320	clusterTSS_bam_10039	alpha-Est9
FBgn0015582	cluster5469	clusterTSS_bam_4433	dare
FBgn0015618	cluster9038	clusterTSS_bam_7431	Cdk8
FBgn0015756	cluster2468	clusterTSS_bam_2035	RpL9
FBgn0015797	cluster2544	clusterTSS_bam_2088	Rab6
FBgn0015805	cluster6980	clusterTSS_bam_5730	Rpd3
FBgn0015806	cluster8710	clusterTSS_bam_7132	S6k
FBgn0015872	cluster5483	clusterTSS_bam_4448	Drip
FBgn0015924	cluster1628	clusterTSS_bam_1326	crq
FBgn0015929	cluster5106	clusterTSS_bam_4145	dpa
FBgn0016075	cluster1952	clusterTSS_bam_1599	vkg
FBgn0016131	cluster4125	clusterTSS_bam_3336	Cdk4
FBgn0016917	cluster13307	clusterTSS_bam_10906	Stat92E
FBgn0017482	cluster6347	clusterTSS_bam_5169	T3dh
FBgn0017577	cluster10503	clusterTSS_bam_8572	Mcm5
FBgn0019936	cluster11193	clusterTSS_bam_9159	RpS20
FBgn0019938	cluster5749	clusterTSS_bam_4674	RpI1
FBgn0019972	cluster11868	clusterTSS_bam_9708	Drice
FBgn0020248	cluster8384	clusterTSS_bam_6851	stet
FBgn0020249	cluster10324	clusterTSS_bam_8418	stck
FBgn0020257	cluster6381	clusterTSS_bam_5197	Ppa
FBgn0020270	cluster926	clusterTSS_bam_807	mre11
FBgn0020306	cluster4537	clusterTSS_bam_3687	dom
FBgn0020309	cluster2512	clusterTSS_bam_2062	crol
FBgn0020388	cluster9229	clusterTSS_bam_7586	Gcn5
FBgn0020389	cluster7965	clusterTSS_bam_6530	Papss
FBgn0020493	cluster10952	clusterTSS_bam_8965	Dad
FBgn0020496	cluster10681	clusterTSS_bam_8703	CtBP
FBgn0020513	cluster16344	clusterTSS_bam_13684	ade5
FBgn0020616	cluster540	clusterTSS_bam_465	SA
FBgn0020618	cluster2186	clusterTSS_bam_1788	Rack1
FBgn0020633	cluster7240	clusterTSS_bam_5930	Mcm7
FBgn0020762	cluster304	clusterTSS_bam_250	Atet
FBgn0020910	cluster10532	clusterTSS_bam_8596	RpL3
FBgn0021761	cluster901	clusterTSS_bam_787	Nup154
FBgn0021765	cluster15388	clusterTSS_bam_12803	scu
FBgn0021800	cluster280	clusterTSS_bam_229	Reph
FBgn0021979	cluster4689	clusterTSS_bam_3811	l(2)k09913
FBgn0021995	cluster3451	clusterTSS_bam_2767	Rs1
FBgn0022246	cluster1603	clusterTSS_bam_1307	Rpp30
FBgn0022349	cluster11996	clusterTSS_bam_9808	CG1910
FBgn0022355	cluster15395	clusterTSS_bam_12812	Tsf1
FBgn0022361	cluster14198	clusterTSS_bam_11659	Pur-alpha
FBgn0022702	cluster8421	clusterTSS_bam_6882	Cht2
FBgn0022708	cluster4793	clusterTSS_bam_3892	Adk2
FBgn0022710	cluster16493	clusterTSS_bam_13805	Ac13E
FBgn0022764	cluster5573	clusterTSS_bam_4519	Sin3A
FBgn0022772	cluster5113	clusterTSS_bam_4155	Orc1
FBgn0022774	cluster9673	clusterTSS_bam_7936	Oat
FBgn0022893	cluster3122	clusterTSS_bam_2519	Df31
FBgn0022942	cluster14569	clusterTSS_bam_12025	Cbp80
FBgn0022987	cluster4199	clusterTSS_bam_3404	qkr54B
FBgn0023000	cluster8321	clusterTSS_bam_6797	mth
FBgn0023001	cluster7097	clusterTSS_bam_5804	melt
FBgn0023095	cluster7560	clusterTSS_bam_6202	caps
FBgn0023172	cluster4168	clusterTSS_bam_3374	RhoGEF2
FBgn0023180	cluster5353	clusterTSS_bam_4344	Orc6
FBgn0023213	cluster14294	clusterTSS_bam_11757	eIF4G
FBgn0023509	cluster14427	clusterTSS_bam_11882	mip130
FBgn0023514	cluster14421	clusterTSS_bam_11878	CG14805
FBgn0023528	cluster15731	clusterTSS_bam_13116	CG2924
FBgn0023549	cluster14457	clusterTSS_bam_11911	Mct1
FBgn0024177	cluster8746	clusterTSS_bam_7162	zpg
FBgn0024179	cluster8605	clusterTSS_bam_7031	wit
FBgn0024194	cluster6863	clusterTSS_bam_5612	rasp
FBgn0024234	cluster4757	clusterTSS_bam_3862	gbb
FBgn0024238	cluster16648	clusterTSS_bam_13957	Fim
FBgn0024250	cluster14730	clusterTSS_bam_12174	brk
FBgn0024285	cluster763	clusterTSS_bam_660	Srp54
FBgn0024294	cluster3357	clusterTSS_bam_2683	Spn43Aa
FBgn0024329	cluster13192	clusterTSS_bam_10829	Mekk1
FBgn0024332	cluster14598	clusterTSS_bam_12051	Mcm3
FBgn0024362	cluster14385	clusterTSS_bam_11845	CG11412
FBgn0024366	cluster15656	clusterTSS_bam_13043	CG11409
FBgn0024732	cluster3764	clusterTSS_bam_3029	Drep-1
FBgn0024836	cluster3672	clusterTSS_bam_2949	stan
FBgn0024846	cluster1068	clusterTSS_bam_909	p38b
FBgn0024912	cluster12265	clusterTSS_bam_10003	agt
FBgn0024920	cluster1803	clusterTSS_bam_1462	Ts
FBgn0024957	cluster12575	clusterTSS_bam_10281	Irp-1B
FBgn0025286	cluster3559	clusterTSS_bam_2857	RpL31
FBgn0025456	cluster13105	clusterTSS_bam_10747	CREG
FBgn0025525	cluster8365	clusterTSS_bam_6837	bab2
FBgn0025574	cluster13569	clusterTSS_bam_11123	Pli
FBgn0025743	cluster15316	clusterTSS_bam_12733	mbt
FBgn0025815	cluster14691	clusterTSS_bam_12140	Mcm6
FBgn0025836	cluster14322	clusterTSS_bam_11786	RhoGAP1A
FBgn0025879	cluster12566	clusterTSS_bam_10274	Timp
FBgn0025885	cluster5091	clusterTSS_bam_4133	Inos
FBgn0026084	cluster14543	clusterTSS_bam_11996	cib
FBgn0026090	cluster15680	clusterTSS_bam_13068	CG14812
FBgn0026144	cluster14733	clusterTSS_bam_12176	CBP
FBgn0026149	cluster14873	clusterTSS_bam_12305	BCL7-like
FBgn0026196	cluster2112	clusterTSS_bam_1719	nop5
FBgn0026199	cluster14280	clusterTSS_bam_11741	myo
FBgn0026252	cluster7165	clusterTSS_bam_5871	msk
FBgn0026361	cluster5173	clusterTSS_bam_4213	Sep5
FBgn0026372	cluster8414	clusterTSS_bam_6878	RpL23A
FBgn0026374	cluster15243	clusterTSS_bam_12657	Rhp
FBgn0026378	cluster4408	clusterTSS_bam_3589	Rep
FBgn0026411	cluster16097	clusterTSS_bam_13451	Lim1
FBgn0026415	cluster16174	clusterTSS_bam_13520	Idgf4
FBgn0026533	cluster4148	clusterTSS_bam_3351	Dek
FBgn0026570	cluster8464	clusterTSS_bam_6919	CG5704
FBgn0026679	cluster16082	clusterTSS_bam_13438	IntS4
FBgn0026713	cluster15155	clusterTSS_bam_12576	l(1)G0007
FBgn0026722	cluster3417	clusterTSS_bam_2740	drosha
FBgn0026749	cluster16383	clusterTSS_bam_13718	Yippee
FBgn0026869	cluster14271	clusterTSS_bam_11733	Thd1
FBgn0026876	cluster15651	clusterTSS_bam_13039	CG11403
FBgn0026878	cluster15703	clusterTSS_bam_13091	CG4325
FBgn0027087	cluster15398	clusterTSS_bam_12815	Aats-his
FBgn0027101	cluster14313	clusterTSS_bam_11777	Dyrk3
FBgn0027106	cluster15987	clusterTSS_bam_13343	Inx7
FBgn0027108	cluster14716	clusterTSS_bam_12163	Inx2
FBgn0027291	cluster16787	clusterTSS_bam_14078	l(1)G0156
FBgn0027330	cluster16095	clusterTSS_bam_13450	l(1)G0020
FBgn0027364	cluster9767	clusterTSS_bam_8009	Six4
FBgn0027375	cluster9331	clusterTSS_bam_7659	RecQ5
FBgn0027492	cluster13858	clusterTSS_bam_11376	wdb
FBgn0027493	cluster13338	clusterTSS_bam_10931	AdSS
FBgn0027528	cluster16607	clusterTSS_bam_13920	CG9634
FBgn0027548	cluster3423	clusterTSS_bam_2743	nito
FBgn0027552	cluster8588	clusterTSS_bam_7022	CG10863
FBgn0027556	cluster15336	clusterTSS_bam_12756	CG4928
FBgn0027571	cluster232	clusterTSS_bam_197	CG3523
FBgn0027578	cluster11794	clusterTSS_bam_9642	CG14526
FBgn0027594	cluster8417	clusterTSS_bam_6881	drpr
FBgn0027602	cluster16649	clusterTSS_bam_13958	CG8611
FBgn0027611	cluster859	clusterTSS_bam_751	LM408
FBgn0027616	cluster8548	clusterTSS_bam_6985	YT521-B
FBgn0027617	cluster13670	clusterTSS_bam_11216	CG5808
FBgn0027620	cluster12004	clusterTSS_bam_9817	Acf1
FBgn0027660	cluster9523	clusterTSS_bam_7823	blot
FBgn0027780	cluster2257	clusterTSS_bam_1857	U26
FBgn0027835	cluster4311	clusterTSS_bam_3516	Dp1
FBgn0027865	cluster13771	clusterTSS_bam_11304	Tsp96F
FBgn0028325	cluster14575	clusterTSS_bam_12033	l(1)G0334
FBgn0028336	cluster14692	clusterTSS_bam_12141	l(1)G0255
FBgn0028371	cluster6385	clusterTSS_bam_5199	jbug
FBgn0028398	cluster199	clusterTSS_bam_166	Taf10
FBgn0028406	cluster2617	clusterTSS_bam_2146	Drep-4
FBgn0028408	cluster3545	clusterTSS_bam_2844	Drep-2
FBgn0028411	cluster6480	clusterTSS_bam_5286	Nxt1
FBgn0028426	cluster5394	clusterTSS_bam_4377	JhI-1
FBgn0028479	cluster2314	clusterTSS_bam_1902	Mtpalpha
FBgn0028490	cluster2496	clusterTSS_bam_2053	CG31705
FBgn0028496	cluster6086	clusterTSS_bam_4963	CG30116
FBgn0028504	cluster8487	clusterTSS_bam_6939	CG12182
FBgn0028554	cluster2114	clusterTSS_bam_1721	x16
FBgn0028693	cluster7773	clusterTSS_bam_6377	Rpn12
FBgn0028697	cluster8272	clusterTSS_bam_6753	RpL15
FBgn0028700	cluster2482	clusterTSS_bam_2046	RfC38
FBgn0028708	cluster10373	clusterTSS_bam_8460	Mst85C
FBgn0028744	cluster4256	clusterTSS_bam_3465	CG5033
FBgn0028953	cluster4198	clusterTSS_bam_3403	CG14478
FBgn0028982	cluster14655	clusterTSS_bam_12105	Spt6
FBgn0028984	cluster12952	clusterTSS_bam_10607	Spn88Ea
FBgn0029002	cluster6646	clusterTSS_bam_5444	miple2
FBgn0029079	cluster4225	clusterTSS_bam_3434	icln
FBgn0029092	cluster5316	clusterTSS_bam_4310	ced-6
FBgn0029094	cluster7954	clusterTSS_bam_6519	asf1
FBgn0029148	cluster9346	clusterTSS_bam_7668	NHP2
FBgn0029173	cluster671	clusterTSS_bam_594	fu2
FBgn0029176	cluster11827	clusterTSS_bam_9670	Ef1gamma
FBgn0029608	cluster15729	clusterTSS_bam_13113	CG3091
FBgn0029648	cluster14496	clusterTSS_bam_11950	CG3603
FBgn0029672	cluster15786	clusterTSS_bam_13162	CG2875
FBgn0029685	cluster15796	clusterTSS_bam_13172	CG2938
FBgn0029686	cluster14531	clusterTSS_bam_11982	CG2941
FBgn0029687	cluster14532	clusterTSS_bam_11983	Vap-33A
FBgn0029754	cluster15873	clusterTSS_bam_13234	CG15930
FBgn0029755	cluster14597	clusterTSS_bam_12050	Sas10
FBgn0029762	cluster15877	clusterTSS_bam_13238	NAAT1
FBgn0029766	cluster14604	clusterTSS_bam_12059	CG15784
FBgn0029771	cluster14605	clusterTSS_bam_12061	CG12730
FBgn0029785	cluster14608	clusterTSS_bam_12064	RpL35
FBgn0029791	cluster14613	clusterTSS_bam_12069	CG4096
FBgn0029799	cluster14615	clusterTSS_bam_12071	CG15772
FBgn0029824	cluster14641	clusterTSS_bam_12092	CG3726
FBgn0029828	cluster14643	clusterTSS_bam_12094	CG6067
FBgn0029830	cluster14645	clusterTSS_bam_12095	Grip
FBgn0029831	cluster14647	clusterTSS_bam_12097	CG5966
FBgn0029837	cluster15922	clusterTSS_bam_13278	Tsp5D
FBgn0029840	cluster15924	clusterTSS_bam_13280	raptor
FBgn0029843	cluster14649	clusterTSS_bam_12099	Nep1
FBgn0029867	cluster14664	clusterTSS_bam_12114	CG3847
FBgn0029878	cluster14682	clusterTSS_bam_12133	Pat1
FBgn0029887	cluster15961	clusterTSS_bam_13317	CG3198
FBgn0029893	cluster15966	clusterTSS_bam_13323	CG14442
FBgn0029894	cluster15967	clusterTSS_bam_13324	CG14440
FBgn0029897	cluster15973	clusterTSS_bam_13329	RpL17
FBgn0029903	cluster14706	clusterTSS_bam_12152	pod1
FBgn0029914	cluster14712	clusterTSS_bam_12158	CG4558
FBgn0029915	cluster15983	clusterTSS_bam_13339	CG14434
FBgn0029935	cluster15990	clusterTSS_bam_13346	CG4615
FBgn0029936	cluster15991	clusterTSS_bam_13347	CG4617
FBgn0029950	cluster14740	clusterTSS_bam_12177	CG9657
FBgn0029969	cluster16017	clusterTSS_bam_13367	CG10932
FBgn0030028	cluster16066	clusterTSS_bam_13421	Corp
FBgn0030034	cluster14797	clusterTSS_bam_12226	CG10555
FBgn0030040	cluster16075	clusterTSS_bam_13433	CG15347
FBgn0030050	cluster16086	clusterTSS_bam_13442	CG12111
FBgn0030052	cluster14821	clusterTSS_bam_12250	CG12065
FBgn0030054	cluster16088	clusterTSS_bam_13444	Caf1-180
FBgn0030056	cluster14825	clusterTSS_bam_12254	CG11284
FBgn0030065	cluster14834	clusterTSS_bam_12262	CG12075
FBgn0030077	cluster16112	clusterTSS_bam_13470	CG15365
FBgn0030090	cluster16120	clusterTSS_bam_13478	fend
FBgn0030148	cluster16165	clusterTSS_bam_13514	CG3106
FBgn0030159	cluster14891	clusterTSS_bam_12323	CG9689
FBgn0030174	cluster16175	clusterTSS_bam_13521	CG15312
FBgn0030208	cluster14915	clusterTSS_bam_12345	PPP4R2r
FBgn0030234	cluster14921	clusterTSS_bam_12351	CG15211
FBgn0030237	cluster14924	clusterTSS_bam_12355	CG15209
FBgn0030251	cluster14930	clusterTSS_bam_12360	CG2145
FBgn0030276	cluster14947	clusterTSS_bam_12378	Dlic
FBgn0030292	cluster14961	clusterTSS_bam_12390	CG11752
FBgn0030293	cluster14962	clusterTSS_bam_12391	CG1737
FBgn0030294	cluster14966	clusterTSS_bam_12395	Pa1
FBgn0030300	cluster14976	clusterTSS_bam_12403	Sk1
