#gene_ID	old_cluster	consensus_cluster_ID_old	cluster_ID_in_bam	new_cluster	consensus_cluster_ID_new	cluster_ID_in_HS72	distance_between_old_new	gene_name
FBgn0010226	Bcc	cluster5972	clusterTSS_bam_4861	Hcc	cluster5973	clusterTSS_HS72_6758	-2149	GstS1
FBgn0010282	Bcc	cluster10178	clusterTSS_bam_8307	Hcc	cluster10177	clusterTSS_HS72_11558	-123	TfIIFalpha
FBgn0010355	Bcc	cluster10198	clusterTSS_bam_8320	Hcc	cluster10199	clusterTSS_HS72_11585	856	Taf1
FBgn0010379	Bcc	cluster10896	clusterTSS_bam_8923	Hcc	cluster10895	clusterTSS_HS72_12388	-310	Akt1
FBgn0010382	Bcc	cluster2729	clusterTSS_bam_2220	Hcc	cluster2730	clusterTSS_HS72_3073	-192	CycE
FBgn0010488	Bcc	cluster3854	clusterTSS_bam_3106	Hcc	cluster3855	clusterTSS_HS72_4345	1880	NAT1
FBgn0010504	Bcc	cluster5198	clusterTSS_bam_4233	Hcc	cluster5197	clusterTSS_HS72_5882	7191	kermit
FBgn0010575	Bcc	cluster6076	clusterTSS_bam_4956	Hcc	cluster6075	clusterTSS_HS72_6878	1360	sbb
FBgn0010660	Bcc	cluster6393	clusterTSS_bam_5211	Hcc	cluster6394	clusterTSS_HS72_7235	-125	Nup214
FBgn0010786	Bcc	cluster6715	clusterTSS_bam_5493	Hcc	cluster6714	clusterTSS_HS72_7602	-148	l(3)02640
FBgn0010812	Bcc	cluster10289	clusterTSS_bam_8388	Hcc	cluster10288	clusterTSS_HS72_11695	-141	unc-45
FBgn0010877	Bcc	cluster13163	clusterTSS_bam_10805	Hcc	cluster13162	clusterTSS_HS72_14972	7030	l(3)05822
FBgn0011020	Bcc	cluster10242	clusterTSS_bam_8356	Hcc	cluster10241	clusterTSS_HS72_11640	-321	Sas-4
FBgn0011205	Bcc	cluster8022	clusterTSS_bam_6580	Hcc	cluster8025	clusterTSS_HS72_9102	4008	fbl
FBgn0011206	Bcc	cluster8962	clusterTSS_bam_7351	Hcc	cluster8961	clusterTSS_HS72_10177	4040	bol
FBgn0011211	Bcc	cluster4665	clusterTSS_bam_3792	Hcc	cluster4666	clusterTSS_HS72_5264	1771	blw
FBgn0011217	Bcc	cluster12922	clusterTSS_bam_10580	Hcc	cluster12923	clusterTSS_HS72_14699	-468	eff
FBgn0011225	Bcc	cluster13635	clusterTSS_bam_11191	Hcc	cluster13634	clusterTSS_HS72_15504	138	jar
FBgn0011289	Bcc	cluster11717	clusterTSS_bam_9583	Hcc	cluster11716	clusterTSS_HS72_13316	-2389	TfIIA-L
FBgn0011455	Bcc	cluster9201	clusterTSS_bam_7563	Hcc	cluster9202	clusterTSS_HS72_10456	-151	l(3)neo18
FBgn0011474	Bcc	cluster10776	clusterTSS_bam_8798	Hcc	cluster10777	clusterTSS_HS72_12241	1622	pr-set7
FBgn0011559	Bcc	cluster2875	clusterTSS_bam_2314	Hcc	cluster2874	clusterTSS_HS72_3235	1446	Acp36DE
FBgn0011640	Bcc	cluster7110	clusterTSS_bam_5817	Hcc	cluster7109	clusterTSS_HS72_8052	-207	lark
FBgn0011666	Bcc	cluster11620	clusterTSS_bam_9513	Hcc	cluster11623	clusterTSS_HS72_13208	60078	msi
FBgn0011746	Bcc	cluster3515	clusterTSS_bam_2815	Hcc	cluster3513	clusterTSS_HS72_3969	-6781	ana
FBgn0011785	Bcc	cluster11496	clusterTSS_bam_9410	Hcc	cluster11495	clusterTSS_HS72_13063	-131	BRWD3
FBgn0012036	Bcc	cluster718	clusterTSS_bam_624	Hcc	cluster717	clusterTSS_HS72_822	-268	Aldh
FBgn0012037	Bcc	cluster1079	clusterTSS_bam_921	Hcc	cluster1080	clusterTSS_HS72_1220	842	Ance
FBgn0013263	Bcc	cluster9338	clusterTSS_bam_7662	Hcc	cluster9339	clusterTSS_HS72_10611	-3202	Trl
FBgn0013548	Bcc	cluster4745	clusterTSS_bam_3852	Hcc	cluster4746	clusterTSS_HS72_5355	1857	l(2)dtl
FBgn0013717	Bcc	cluster9601	clusterTSS_bam_7881	Hcc	cluster9600	clusterTSS_HS72_10903	408	not
FBgn0013718	Bcc	cluster7606	clusterTSS_bam_6242	Hcc	cluster7613	clusterTSS_HS72_8635	35337	nuf
FBgn0013749	Bcc	cluster14223	clusterTSS_bam_11687	Hcc	cluster14224	clusterTSS_HS72_16178	238	Arf102F
FBgn0013762	Bcc	cluster5827	clusterTSS_bam_4735	Hcc	cluster5828	clusterTSS_HS72_6594	-290	Cdk5
FBgn0013765	Bcc	cluster5659	clusterTSS_bam_4594	Hcc	cluster5657	clusterTSS_HS72_6406	5057	cnn
FBgn0013813	Bcc	cluster11778	clusterTSS_bam_9628	Hcc	cluster11777	clusterTSS_HS72_13389	-5274	Dhc98D
FBgn0013983	Bcc	cluster6080	clusterTSS_bam_4960	Hcc	cluster6081	clusterTSS_HS72_6884	-134	imd
FBgn0014007	Bcc	cluster7510	clusterTSS_bam_6166	Hcc	cluster7511	clusterTSS_HS72_8525	210	Ptp69D
FBgn0014020	Bcc	cluster4076	clusterTSS_bam_3297	Hcc	cluster4075	clusterTSS_HS72_4579	-408	Rho1
FBgn0014037	Bcc	cluster9701	clusterTSS_bam_7960	Hcc	cluster9697	clusterTSS_HS72_11013	14412	Su(Tpl)
FBgn0014127	Bcc	cluster3009	clusterTSS_bam_2445	Hcc	cluster3010	clusterTSS_HS72_3389	-468	barr
FBgn0014135	Bcc	cluster13263	clusterTSS_bam_10876	Hcc	cluster13262	clusterTSS_HS72_15077	39818	bnl
FBgn0014342	Bcc	cluster12173	clusterTSS_bam_9926	Hcc	cluster12174	clusterTSS_HS72_13823	-569	mia
FBgn0015024	Bcc	cluster15069	clusterTSS_bam_12490	Hcc	cluster15068	clusterTSS_HS72_17117	-202	CkIalpha
FBgn0015239	Bcc	cluster9825	clusterTSS_bam_8052	Hcc	cluster9824	clusterTSS_HS72_11156	1023	Hr78
FBgn0015245	Bcc	cluster14940	clusterTSS_bam_12368	Hcc	cluster14941	clusterTSS_HS72_16983	1306	Hsp60
FBgn0015269	Bcc	cluster11650	clusterTSS_bam_9534	Hcc	cluster11651	clusterTSS_HS72_13240	170	Nf1
FBgn0015320	Bcc	cluster2436	clusterTSS_bam_2006	Hcc	cluster2434	clusterTSS_HS72_2737	844	Ubc2
FBgn0015359	Bcc	cluster6778	clusterTSS_bam_5540	Hcc	cluster6777	clusterTSS_HS72_7666	-199	CG2034
FBgn0015372	Bcc	cluster6455	clusterTSS_bam_5263	Hcc	cluster6456	clusterTSS_HS72_7312	-303	RabX1
FBgn0015544	Bcc	cluster4824	clusterTSS_bam_3926	Hcc	cluster4823	clusterTSS_HS72_5450	-186	spag
FBgn0015623	Bcc	cluster475	clusterTSS_bam_408	Hcc	cluster476	clusterTSS_HS72_539	958	Cpr
FBgn0015765	Bcc	cluster13610	clusterTSS_bam_11166	Hcc	cluster13611	clusterTSS_HS72_15477	-354	p38a
FBgn0015778	Bcc	cluster10721	clusterTSS_bam_8735	Hcc	cluster10723	clusterTSS_HS72_12177	1795	rin
FBgn0015791	Bcc	cluster1103	clusterTSS_bam_935	Hcc	cluster1104	clusterTSS_HS72_1243	1853	Rab14
FBgn0015795	Bcc	cluster11442	clusterTSS_bam_9361	Hcc	cluster11443	clusterTSS_HS72_13005	242	Rab7
FBgn0016034	Bcc	cluster8186	clusterTSS_bam_6700	Hcc	cluster8185	clusterTSS_HS72_9286	-3030	mael
FBgn0016038	Bcc	cluster14340	clusterTSS_bam_11801	Hcc	cluster14341	clusterTSS_HS72_16320	272	mod(r)
FBgn0016041	Bcc	cluster14751	clusterTSS_bam_12183	Hcc	cluster14750	clusterTSS_HS72_16761	-509	Tom40
FBgn0016081	Bcc	cluster9019	clusterTSS_bam_7413	Hcc	cluster9020	clusterTSS_HS72_10254	-350	fry
FBgn0016687	Bcc	cluster6559	clusterTSS_bam_5363	Hcc	cluster6560	clusterTSS_HS72_7435	-128	Nurf-38
FBgn0016693	Bcc	cluster10665	clusterTSS_bam_8691	Hcc	cluster10663	clusterTSS_HS72_12106	-589	Past1
FBgn0016696	Bcc	cluster8047	clusterTSS_bam_6598	Hcc	cluster8046	clusterTSS_HS72_9125	-185	Pitslre
FBgn0016726	Bcc	cluster4532	clusterTSS_bam_3682	Hcc	cluster4531	clusterTSS_HS72_5105	-176	RpL29
FBgn0016756	Bcc	cluster7022	clusterTSS_bam_5755	Hcc	cluster7021	clusterTSS_HS72_7951	-140	Ubp64E
FBgn0016792	Bcc	cluster10435	clusterTSS_bam_8512	Hcc	cluster10434	clusterTSS_HS72_11859	-345	dmt
FBgn0016930	Bcc	cluster2667	clusterTSS_bam_2187	Hcc	cluster2666	clusterTSS_HS72_2997	36553	Dyrk2
FBgn0016977	Bcc	cluster22	clusterTSS_bam_23	Hcc	cluster24	clusterTSS_HS72_27	175	spen
FBgn0017551	Bcc	cluster518	clusterTSS_bam_443	Hcc	cluster517	clusterTSS_HS72_588	-144	Rca1
FBgn0019886	Bcc	cluster6555	clusterTSS_bam_5360	Hcc	cluster6553	clusterTSS_HS72_7427	508	Letm1
FBgn0019932	Bcc	cluster828	clusterTSS_bam_721	Hcc	cluster829	clusterTSS_HS72_949	684	SamDC
FBgn0020238	Bcc	cluster11021	clusterTSS_bam_9015	Hcc	cluster11020	clusterTSS_HS72_12525	-223	14-3-3epsilon
FBgn0020279	Bcc	cluster3430	clusterTSS_bam_2746	Hcc	cluster3432	clusterTSS_HS72_3879	1833	lig
FBgn0020300	Bcc	cluster7890	clusterTSS_bam_6473	Hcc	cluster7891	clusterTSS_HS72_8950	311	gk
FBgn0020304	Bcc	cluster1648	clusterTSS_bam_1349	Hcc	cluster1646	clusterTSS_HS72_1859	600	drongo
FBgn0020370	Bcc	cluster5624	clusterTSS_bam_4568	Hcc	cluster5625	clusterTSS_HS72_6366	-196	TppII
FBgn0020381	Bcc	cluster15620	clusterTSS_bam_13010	Hcc	cluster15619	clusterTSS_HS72_17749	1390	Dredd
FBgn0020412	Bcc	cluster9108	clusterTSS_bam_7494	Hcc	cluster9107	clusterTSS_HS72_10354	1288	JIL-1
FBgn0020414	Bcc	cluster1197	clusterTSS_bam_995	Hcc	cluster1196	clusterTSS_HS72_1349	-163	Idgf3
FBgn0020443	Bcc	cluster983	clusterTSS_bam_850	Hcc	cluster984	clusterTSS_HS72_1117	199	Elf
FBgn0020622	Bcc	cluster41	clusterTSS_bam_38	Hcc	cluster43	clusterTSS_HS72_49	3978	Pi3K21B
FBgn0020653	Bcc	cluster14790	clusterTSS_bam_12220	Hcc	cluster14793	clusterTSS_HS72_16813	1247	Trxr-1
FBgn0021760	Bcc	cluster8077	clusterTSS_bam_6621	Hcc	cluster8078	clusterTSS_HS72_9161	2086	chb
FBgn0022224	Bcc	cluster5051	clusterTSS_bam_4101	Hcc	cluster5052	clusterTSS_HS72_5715	-143	ubl
FBgn0022288	Bcc	cluster3265	clusterTSS_bam_2615	Hcc	cluster3264	clusterTSS_HS72_3684	-295	l(2)09851
FBgn0022382	Bcc	cluster5369	clusterTSS_bam_4357	Hcc	cluster5368	clusterTSS_HS72_6073	1673	Pka-R2
FBgn0022699	Bcc	cluster8728	clusterTSS_bam_7146	Hcc	cluster8729	clusterTSS_HS72_9914	-245	D19B
FBgn0022709	Bcc	cluster9206	clusterTSS_bam_7567	Hcc	cluster9207	clusterTSS_HS72_10462	-166	Adk1
FBgn0022981	Bcc	cluster10040	clusterTSS_bam_8196	Hcc	cluster10039	clusterTSS_HS72_11403	-195	rpk
FBgn0023083	Bcc	cluster11051	clusterTSS_bam_9044	Hcc	cluster11053	clusterTSS_HS72_12565	12787	fray
FBgn0023129	Bcc	cluster7288	clusterTSS_bam_5979	Hcc	cluster7289	clusterTSS_HS72_8257	227	aay
FBgn0023181	Bcc	cluster6586	clusterTSS_bam_5384	Hcc	cluster6585	clusterTSS_HS72_7461	353	Orc4
FBgn0023519	Bcc	cluster14424	clusterTSS_bam_11880	Hcc	cluster14423	clusterTSS_HS72_16409	-200	mRpL16
FBgn0023526	Bcc	cluster15735	clusterTSS_bam_13121	Hcc	cluster15734	clusterTSS_HS72_17876	670	CG2865
FBgn0023530	Bcc	cluster15675	clusterTSS_bam_13063	Hcc	cluster15674	clusterTSS_HS72_17810	188	CG3740
FBgn0024183	Bcc	cluster2707	clusterTSS_bam_2206	Hcc	cluster2708	clusterTSS_HS72_3045	-2335	vig
FBgn0024191	Bcc	cluster419	clusterTSS_bam_355	Hcc	cluster420	clusterTSS_HS72_474	156	sip1
FBgn0024314	Bcc	cluster1669	clusterTSS_bam_1366	Hcc	cluster1671	clusterTSS_HS72_1889	-535	Plap
FBgn0024326	Bcc	cluster12392	clusterTSS_bam_10097	Hcc	cluster12393	clusterTSS_HS72_14074	-202	Mkk4
FBgn0024330	Bcc	cluster12527	clusterTSS_bam_10234	Hcc	cluster12528	clusterTSS_HS72_14238	-161	MED6
FBgn0024510	Bcc	cluster8428	clusterTSS_bam_6886	Hcc	cluster8426	clusterTSS_HS72_9559	1926	dlt
FBgn0024728	Bcc	cluster14205	clusterTSS_bam_11666	Hcc	cluster14207	clusterTSS_HS72_16153	1646	Slip1
FBgn0024734	Bcc	cluster2756	clusterTSS_bam_2235	Hcc	cluster2753	clusterTSS_HS72_3101	8143	PRL-1
FBgn0024806	Bcc	cluster8308	clusterTSS_bam_6786	Hcc	cluster8307	clusterTSS_HS72_9425	6948	DIP2
FBgn0024811	Bcc	cluster14179	clusterTSS_bam_11641	Hcc	cluster14178	clusterTSS_HS72_16121	-310	Crk
FBgn0024977	Bcc	cluster14487	clusterTSS_bam_11940	Hcc	cluster14488	clusterTSS_HS72_16477	184	CG2709
FBgn0024991	Bcc	cluster14484	clusterTSS_bam_11937	Hcc	cluster14485	clusterTSS_HS72_16473	710	CG2694
FBgn0024992	Bcc	cluster15760	clusterTSS_bam_13142	Hcc	cluster15759	clusterTSS_HS72_17903	182	CG2658
FBgn0025111	Bcc	cluster16229	clusterTSS_bam_13569	Hcc	cluster16224	clusterTSS_HS72_18430	6251	Ant2
FBgn0025381	Bcc	cluster14399	clusterTSS_bam_11860	Hcc	cluster14402	clusterTSS_HS72_16388	563	rush
FBgn0025388	Bcc	cluster15832	clusterTSS_bam_13201	Hcc	cluster15831	clusterTSS_HS72_17986	472	CG12179
FBgn0025390	Bcc	cluster15675	clusterTSS_bam_13063	Hcc	cluster15674	clusterTSS_HS72_17810	188	Mur2B
FBgn0025571	Bcc	cluster10976	clusterTSS_bam_8981	Hcc	cluster10975	clusterTSS_HS72_12473	-161	SF1
FBgn0025582	Bcc	cluster9492	clusterTSS_bam_7799	Hcc	cluster9493	clusterTSS_HS72_10783	-87	Int6
FBgn0025608	Bcc	cluster2898	clusterTSS_bam_2338	Hcc	cluster2899	clusterTSS_HS72_3268	-154	Faf
FBgn0025621	Bcc	cluster14360	clusterTSS_bam_11823	Hcc	cluster14359	clusterTSS_HS72_16343	-223	CG16989
FBgn0025678	Bcc	cluster2776	clusterTSS_bam_2253	Hcc	cluster2777	clusterTSS_HS72_3129	-355	CaBP1
FBgn0025697	Bcc	cluster2165	clusterTSS_bam_1766	Hcc	cluster2164	clusterTSS_HS72_2440	231	santa-maria
FBgn0025700	Bcc	cluster2340	clusterTSS_bam_1924	Hcc	cluster2339	clusterTSS_HS72_2627	196	CG5885
FBgn0025726	Bcc	cluster14292	clusterTSS_bam_11752	Hcc	cluster14289	clusterTSS_HS72_16256	28684	unc-13
FBgn0025777	Bcc	cluster2088	clusterTSS_bam_1704	Hcc	cluster2087	clusterTSS_HS72_2353	261	homer
FBgn0025800	Bcc	cluster16054	clusterTSS_bam_13409	Hcc	cluster16053	clusterTSS_HS72_18247	201	Smox
FBgn0026080	Bcc	cluster15807	clusterTSS_bam_13185	Hcc	cluster15808	clusterTSS_HS72_17961	-135	Tip60
